municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,2,2
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,6,6
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,4,4
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,2,2
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,5,5
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,2,2
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,6,6
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,2,2
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,4,4
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,2,2
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,9,9
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CABEZAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CAJUATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CALACOTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,4,4
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,7,7
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,5,5
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,6,6
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,10,10
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,6,6
CARAPARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CATACORA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,4,4
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,2,2
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,9,9
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,73,73
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,10,10
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,6,6
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
COLQUIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CONCEPCION,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CORIPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
CORQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
COTAGAITA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,3,3
COTOCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,1,1
CULPINA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,2,2
EL ALTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2021-01-01,53,53
