municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,23,23
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,126,126
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,115,115
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,15,15
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,11,11
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,41,41
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,56,56
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,25,25
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,13,13
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,14,14
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,83,83
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,31,31
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,35,35
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,156,156
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,80,80
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,16,16
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,33,33
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,8,8
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,43,43
AYO AYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,37,37
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,148,148
AZURDUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2021-01-01,5,5
