municipality,group,variable,month,Niñas(os) menores de 6 meses con dosis completa de hierro,TOTAL
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,12,12
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
CARACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,4,4
CARANAVI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,3,3
CHARAGUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,3,3
CHAYANTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,5,5
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,26,26
COLQUECHACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
CORO CORO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,5,5
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,3,3
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,3,3
IXIAMAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,13,13
LURIBAY,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,4,4
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
MECAPACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,5,5
MONTEAGUDO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
OKINAWA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,34,34
RAVELO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,14,14
SACACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,4,4
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,9,9
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,28,28
SAN LORENZO(TJA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
SAN PEDRO DE MACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,2,2
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
