municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,51,51
ACHOCALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,234,234
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,191,191
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,16,16
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,20,20
ALTO BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,84,84
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,80,80
ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,57,57
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,27,27
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,53,53
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,133,133
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,50,50
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,78,78
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,276,276
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,146,146
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,2,2
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,73,73
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,8,8
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,94,94
AYO AYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,85,85
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,222,222
AZURDUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,8,8
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,162,162
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,6,6
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,17,17
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,5,5
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,22,22
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,407,407
BOLIVAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,63,63
BOLPEBRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,14,14
BOYUIBE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,71,71
BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,10,10
CABEZAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,36,36
CAIROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2021-01-01,96,96
