municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,5,5
ACHACACHI,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,59,59
ACHOCALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,14,14
AIQUILE,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,28,28
ALALAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,3,3
ALCALA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,1,1
ALTO BENI,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,8,8
ANCORAIMES,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,13,13
ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,5,5
ANZALDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,5,5
APOLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,19,19
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,6,6
ARANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,4,4
ARBIETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,12,12
ARQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,15,15
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,44,44
ATOCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,3,3
AUCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,10,10
AYATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,10,10
AYO AYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,35,35
AZURDUY,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,15,15
BATALLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,25,25
BAURES,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,3,3
BELLA FLOR,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,1,1
BERMEJO,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,47,47
BETANZOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,32,32
BOLIVAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,4,4
BOYUIBE,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,2,2
BUENA VISTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,10,10
CABEZAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,68,68
CAIROMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,12,12
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,10,10
CAJUATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2021-01-01,20,20
