municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,59,59
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,13,13
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,23,23
ALALAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,3,3
ALCALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,7,7
ANCORAIMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,12,12
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,5,5
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,5,5
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,20,20
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,6,6
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,4,4
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,12,12
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,15,15
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,31,31
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,1,1
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,10,10
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,10,10
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,32,32
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2021-01-01,15,15
