municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,3,3
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,11,11
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,31,31
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,14,14
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,14,14
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,9,9
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,7,7
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,5,5
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,5,5
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,29,29
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,6,6
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,5,5
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,43,43
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,20,20
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,20,20
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,18,18
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,7,7
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,10,10
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,23,23
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,14,14
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,29,29
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,4,4
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,30,30
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,47,47
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,4,4
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,11,11
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,37,37
CABEZAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,43,43
CAIROMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,15,15
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,19,19
CAJUATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,23,23
CALACOTO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,6,6
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,19,19
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,31,31
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,6,6
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,43,43
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,16,16
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,19,19
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,15,15
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,59,59
CARAPARI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,17,17
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,14,14
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,13,13
CATACORA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,4,4
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,39,39
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,8,8
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,45,45
CHARAÑA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,17,17
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,34,34
CHIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,2,2
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,3,3
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,12,12
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,15,15
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,7,7
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,16,16
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,9,9
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,76,76
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,19,19
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,517,517
COIPASA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,38,38
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,8,8
COLLANA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,4,4
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2021-01-01,24,24
