municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,4,4
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,24,24
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,28,28
AIQUILE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,19,19
ALALAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,3,3
ALCALA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,16,16
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,15,15
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,3,3
APOLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,19,19
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,5,5
ARANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,11,11
ARBIETO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,23,23
ARQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,15,15
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,16,16
ATOCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,7,7
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,7,7
AYATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,11,11
AYO AYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,15,15
AZURDUY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,13,13
BATALLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,17,17
BAURES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,5,5
BERMEJO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,37,37
BETANZOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,39,39
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2021-01-01,6,6
