municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,23,23
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,31,31
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,29,29
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,4,4
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,2,2
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,7,7
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,19,19
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,2,2
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,2,2
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,7,7
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,35,35
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,4,4
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,8,8
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,40,40
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,14,14
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,37,37
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,5,5
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2021-01-01,5,5
