municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,62,62
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,50,50
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,22,22
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,9,9
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,29,29
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,22,22
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,24,24
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,67,67
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,34,34
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,17,17
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,17,17
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,31,31
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,46,46
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
BOLPEBRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,20,20
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,19,19
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,12,12
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,28,28
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
CAMARGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,45,45
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,31,31
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,23,23
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,39,39
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,86,86
CARAPARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,31,31
CARIPUYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,9,9
CARMEN RIVERO TORREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
CHACARILLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
CHALLAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,78,78
CHAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,24,24
CHARAGUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,56,56
CHARAÑA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
CHAYANTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,18,18
CHIMORE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,49,49
CHIPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,26,26
CHUMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
CKOCHAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
CLIZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,24,24
