municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,2,2
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,20,20
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,5,5
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,2,2
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
COBIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,13,13
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,2,2
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,10,10
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,2,2
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada,2012-01-01,1,1
