municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,33,33
ACHOCALLA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,8,8
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,23,23
ALCALA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
ANDAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
ANTEQUERA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
ARAMPAMPA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
ARANI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,7,7
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
AYATA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,14,14
AZURDUY,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,5,5
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,4,4
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,36,36
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,5,5
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,21,21
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
CALACOTO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,21,21
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,24,24
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,10,10
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,14,14
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,70,70
CARAPARI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
CARIPUYO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,43,43
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,4,4
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,50,50
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,8,8
CHIMORE,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,23,23
CHIPAYA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,27,27
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,32,32
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,136,136
COCAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,15,15
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,841,841
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,55,55
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,12,12
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,31,31
CORO CORO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,18,18
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,52,52
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,10,10
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
CULPINA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1355,1355
EL CHORO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,7,7
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,99,99
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,14,14
ENTRE RIOS CBBA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,38,38
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,5,5
EXALTACION,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,10,10
FILADELFIA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
GUANAY,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,15,15
GUTIERREZ,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
HUACARETA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
HUANUNI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,21,21
HUMANATA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
INCAHUASI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
INGAVI (HUMAITA),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
IXIAMAS,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
LA GUARDIA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,70,70
LA PAZ,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,592,592
LAGUNILLAS,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
LLALLAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,41,41
LORETO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
MACHACAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
MACHARETI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
MAGDALENA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,10,10
MAIRANA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,39,39
MAPIRI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,19,19
MIZQUE,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,24,24
MOCOMOCO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
MONTERO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,21,21
MOROCHATA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
OCURI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,4,4
OMEREQUE,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
ORURO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,582,582
PADCAYA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
PADILLA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,26,26
PAILON,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,41,41
PAPEL PAMPA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
PATACAMAYA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,26,26
PAZÑA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
PELECHUCO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
POCONA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
POJO (CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,11,11
POOPO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
PORCO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
POROMA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,4,4
PORTACHUELO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,19,19
PORVENIR,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
POTOSI,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,404,404
PRESTO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,4,4
PUERTO ACOSTA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,2,2
PUERTO CARABUCO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
PUERTO GONZALO MORENO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,5,5
PUERTO QUIJARRO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,12,12
PUERTO RICO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,48,48
PUERTO VILLARROEL,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,102,102
PUNA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,10,10
PUNATA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,51,51
QUILLACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,210,210
RAVELO,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,1,1
REYES,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,16,16
RIBERALTA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,169,169
ROBORE,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,21,21
RURRENABAQUE,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,21,21
SACABA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,189,189
SACACA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,12,12
SAIPINA,atencion de partos en servicios,rn con alojamiento conjunto,2017-01-01,3,3
