municipality,group,variable,month,Nacidos muertos,TOTAL
ACACIO,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
CAMIRI,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2017-01-01,19,19
COROICO,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
EL ALTO,atencion de partos en servicios,nacidos muertos,2017-01-01,24,24
EL TORNO,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
INCAHUASI,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2017-01-01,11,11
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2017-01-01,8,8
OKINAWA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2017-01-01,11,11
PATACAMAYA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
POCOATA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2017-01-01,3,3
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos,2017-01-01,3,3
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
RIBERALTA,atencion de partos en servicios,nacidos muertos,2017-01-01,7,7
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
SAMAIPATA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2017-01-01,28,28
SENA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos,2017-01-01,5,5
TARIJA,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
TORO TORO,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2017-01-01,5,5
TUPIZA,atencion de partos en servicios,nacidos muertos,2017-01-01,11,11
UYUNI,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos,2017-01-01,2,2
YAPACANI,atencion de partos en servicios,nacidos muertos,2017-01-01,3,3
ZUDAÑEZ,atencion de partos en servicios,nacidos muertos,2017-01-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2017-02-01,2,2
CAMIRI,atencion de partos en servicios,nacidos muertos,2017-02-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2017-02-01,13,13
COROICO,atencion de partos en servicios,nacidos muertos,2017-02-01,2,2
EL ALTO,atencion de partos en servicios,nacidos muertos,2017-02-01,22,22
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
ESCOMA,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
ICLA,atencion de partos en servicios,nacidos muertos,2017-02-01,2,2
IXIAMAS,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2017-02-01,19,19
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2017-02-01,3,3
LLICA,atencion de partos en servicios,nacidos muertos,2017-02-01,1,1
