,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,13,13
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,32,32
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,16,16
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,20,20
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,3,3
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,529,529
SANTIVAÑES,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,9,9
SENA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,1,1
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,14,14
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,5,5
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,460,460
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,18,18
TARATA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,24,24
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,114,114
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,13,13
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,18,18
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,7,7
TOTORA(CBBA),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,20,20
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,13,13
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,19,19
URIONDO (A. CONCEPCION),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,4,4
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,43,43
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,72,72
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,13,13
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,198,198
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,44,44
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,63,63
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,15,15
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,17,17
YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,17,17
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,3,3
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,13,13
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,45,45
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,55,55
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,7,7
APOLO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,23,23
ARANI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,14,14
ARBIETO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,17,17
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,79,79
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,8,8
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,24,24
BELLA FLOR,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,1,1
BOLIVAR,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,1,1
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,4,4
BOYUIBE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,11,11
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,32,32
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,5,5
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,6,6
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,26,26
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,23,23
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,63,63
CARAPARI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,18,18
CARMEN RIVERO TORREZ,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,12,12
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,37,37
CHARAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,7,7
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,20,20
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,39,39
CHUMA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,3,3
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,29,29
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,28,28
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,612,612
COMARAPA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,12,12
CORQUE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,6,6
COTAGAITA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,8,8
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,9,9
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,34,34
CUEVO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,2,2
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,24,24
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,821,821
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,6,6
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,53,53
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,3,3
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,27,27
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,9,9
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,6,6
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,11,11
GRAL. J.J. PEREZ (CHARAZANI),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,11,11
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,117,117
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,61,61
ICLA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,22,22
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,12,12
INQUISIVI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,6,6
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,11,11
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,43,43
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,81,81
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,442,442
LAGUNILLAS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,3,3
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,7,7
LICOMA PAMPA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,1,1
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,4,4
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,16,16
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,44,44
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,5,5
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,82,82
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,128,128
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,2,2
OKINAWA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,23,23
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,570,570
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,16,16
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,17,17
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,5,5
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,10,10
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,12,12
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,11,11
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,93,93
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,13,13
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,2,2
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,8,8
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,82,82
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,111,111
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,5,5
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,11,11
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,26,26
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,37,37
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,268,268
SAN BENITO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,1,1
SAN BORJA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,3,3
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,30,30
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,20,20
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,80,80
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,26,26
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,46,46
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,20,20
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,63,63
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,3,3
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,7,7
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,66,66
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,36,36
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,15,15
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,23,23
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,1002,1002
SANTIVAÑES,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,5,5
SENA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,20,20
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,13,13
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,88,88
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,22,22
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,614,614
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,33,33
TARATA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,16,16
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,192,192
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,12,12
TIQUIPAYA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,8,8
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,6,6
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,2,2
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,7,7
TOTORA(CBBA),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,52,52
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,22,22
TURCO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,3,3
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,2,2
URIONDO (A. CONCEPCION),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,3,3
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,56,56
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,48,48
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,7,7
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,69,69
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,12,12
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,179,179
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,22,22
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,5,5
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,60,60
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,8,8
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,9,9
YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,25,25
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-04-01,0,3,3
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,32,32
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,26,26
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,3,3
APOLO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,4,4
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,113,113
AYOPAYA (V. DE INDEPENDENCIA),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,12,12
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,11,11
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,24,24
BOLIVAR,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,1,1
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,2,2
BOYUIBE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,5,5
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,19,19
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,12,12
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,3,3
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,37,37
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,42,42
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,21,21
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,6,6
CARMEN RIVERO TORREZ,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,5,5
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,42,42
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,24,24
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,59,59
CHUMA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,3,3
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,18,18
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,90,90
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,378,378
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,2,2
COLOMI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,8,8
COLPA BELGICA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,13,13
COROICO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,50,50
CORQUE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,5,5
COTAGAITA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,15,15
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,8,8
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,23,23
CUEVO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,6,6
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,27,27
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,1195,1195
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,7,7
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,66,66
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,2,2
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,33,33
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,6,6
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,1,1
FERNANDEZ ALONSO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,15,15
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,20,20
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,32,32
GRAL. J.J. PEREZ (CHARAZANI),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,11,11
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,188,188
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,7,7
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,59,59
ICLA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,9,9
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,6,6
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,9,9
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,37,37
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,103,103
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,457,457
LAGUNILLAS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,11,11
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,4,4
LICOMA PAMPA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,1,1
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,103,103
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,5,5
MAGDALENA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,21,21
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,23,23
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,48,48
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,6,6
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,72,72
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,146,146
OMEREQUE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,11,11
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,559,559
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,35,35
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,11,11
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,73,73
PATACAMAYA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,37,37
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,4,4
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,13,13
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,20,20
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,20,20
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,27,27
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,7,7
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,6,6
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,2,2
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,32,32
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,105,105
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,132,132
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,4,4
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,24,24
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,34,34
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,57,57
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,279,279
SAN ANDRES,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,1,1
SAN BORJA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,3,3
SAN BUENA VENTURA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,43,43
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,19,19
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,39,39
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,129,129
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,29,29
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,50,50
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,16,16
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,71,71
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,3,3
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,9,9
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,70,70
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,22,22
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,16,16
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,5,5
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,28,28
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,819,819
SANTIVAÑES,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,1,1
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,13,13
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,92,92
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,14,14
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,740,740
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,37,37
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,294,294
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,47,47
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,9,9
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,3,3
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,36,36
TOTORA(CBBA),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,54,54
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,36,36
TUPIZA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,6,6
TURCO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,2,2
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,17,17
URIONDO (A. CONCEPCION),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,3,3
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,54,54
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,66,66
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,16,16
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,80,80
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,22,22
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,179,179
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,15,15
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,81,81
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,152,152
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,10,10
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,9,9
YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,27,27
YOTALA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,11,11
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,1,1
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-05-01,0,5,5
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,28,28
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,30,30
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
APOLO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,22,22
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,86,86
