,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,2,2
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,377,377
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,20,20
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,15,15
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,12,12
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,10,10
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,11,11
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,6,6
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,51,51
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,2,2
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,2,2
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,4,4
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,3,3
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,72,72
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,7,7
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,136,136
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,12,12
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,4,4
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,51,51
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,1,1
SAN BORJA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,9,9
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,17,17
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,38,38
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,142,142
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,26,26
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,53,53
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,15,15
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,63,63
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,8,8
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,2,2
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,25,25
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,30,30
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,20,20
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,45,45
