,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,3,33,36
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,1,1
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,24,0,24
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,35,36
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,55,55
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,4,4
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,2,4
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,3,5
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,7,28,35
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,17,60,77
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,17,17
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,3,3
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,50,50
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,19,394,413
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,21,23
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,34,34
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,320,1199,1519
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,86,87
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,13,13
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,13,14
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,40,157,197
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,1,1
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,7,7
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,16,16
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,11,13,24
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,7,7
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,3,40,43
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,191,330,521
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,11,11
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,1,1
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,21,21
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,6,6
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,11,83,94
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,15,98,113
