municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicios,vaginales,2015-01-01,3,3
ACHACACHI,atencion de partos en servicios,vaginales,2015-01-01,26,26
ACHOCALLA,atencion de partos en servicios,vaginales,2015-01-01,6,6
AIQUILE,atencion de partos en servicios,vaginales,2015-01-01,31,31
ALALAY,atencion de partos en servicios,vaginales,2015-01-01,1,1
ALCALA,atencion de partos en servicios,vaginales,2015-01-01,4,4
ALTO BENI,atencion de partos en servicios,vaginales,2015-01-01,9,9
ANCORAIMES,atencion de partos en servicios,vaginales,2015-01-01,4,4
ANDAMARCA,atencion de partos en servicios,vaginales,2015-01-01,1,1
ANZALDO,atencion de partos en servicios,vaginales,2015-01-01,3,3
APOLO,atencion de partos en servicios,vaginales,2015-01-01,9,9
ARAMPAMPA,atencion de partos en servicios,vaginales,2015-01-01,2,2
ARANI,atencion de partos en servicios,vaginales,2015-01-01,10,10
ARBIETO,atencion de partos en servicios,vaginales,2015-01-01,15,15
ARQUE,atencion de partos en servicios,vaginales,2015-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2015-01-01,40,40
ATOCHA,atencion de partos en servicios,vaginales,2015-01-01,16,16
AYATA,atencion de partos en servicios,vaginales,2015-01-01,1,1
AYO AYO,atencion de partos en servicios,vaginales,2015-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2015-01-01,12,12
AZURDUY,atencion de partos en servicios,vaginales,2015-01-01,3,3
BATALLAS,atencion de partos en servicios,vaginales,2015-01-01,5,5
BAURES,atencion de partos en servicios,vaginales,2015-01-01,7,7
BELLA FLOR,atencion de partos en servicios,vaginales,2015-01-01,1,1
BERMEJO,atencion de partos en servicios,vaginales,2015-01-01,20,20
BETANZOS,atencion de partos en servicios,vaginales,2015-01-01,23,23
BOLPEBRA,atencion de partos en servicios,vaginales,2015-01-01,1,1
BOYUIBE,atencion de partos en servicios,vaginales,2015-01-01,2,2
BUENA VISTA,atencion de partos en servicios,vaginales,2015-01-01,7,7
CABEZAS,atencion de partos en servicios,vaginales,2015-01-01,22,22
CAIROMA,atencion de partos en servicios,vaginales,2015-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,vaginales,2015-01-01,6,6
CAJUATA,atencion de partos en servicios,vaginales,2015-01-01,14,14
CALAMARCA,atencion de partos en servicios,vaginales,2015-01-01,7,7
CAMARGO,atencion de partos en servicios,vaginales,2015-01-01,19,19
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2015-01-01,1,1
CAMIRI,atencion de partos en servicios,vaginales,2015-01-01,50,50
CAPINOTA,atencion de partos en servicios,vaginales,2015-01-01,16,16
CAQUIAVIRI,atencion de partos en servicios,vaginales,2015-01-01,4,4
CARACOLLO,atencion de partos en servicios,vaginales,2015-01-01,13,13
CARANAVI,atencion de partos en servicios,vaginales,2015-01-01,64,64
CARAPARI,atencion de partos en servicios,vaginales,2015-01-01,8,8
CARIPUYO,atencion de partos en servicios,vaginales,2015-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2015-01-01,6,6
CHALLAPATA,atencion de partos en servicios,vaginales,2015-01-01,45,45
CHAQUI,atencion de partos en servicios,vaginales,2015-01-01,9,9
CHARAGUA,atencion de partos en servicios,vaginales,2015-01-01,41,41
CHAYANTA,atencion de partos en servicios,vaginales,2015-01-01,8,8
CHIMORE,atencion de partos en servicios,vaginales,2015-01-01,9,9
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2015-01-01,31,31
CHUMA,atencion de partos en servicios,vaginales,2015-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2015-01-01,4,4
CKOCHAS,atencion de partos en servicios,vaginales,2015-01-01,3,3
CLIZA,atencion de partos en servicios,vaginales,2015-01-01,19,19
COBIJA,atencion de partos en servicios,vaginales,2015-01-01,61,61
COCAPATA,atencion de partos en servicios,vaginales,2015-01-01,4,4
COCHABAMBA,atencion de partos en servicios,vaginales,2015-01-01,835,835
COLCAPIRHUA,atencion de partos en servicios,vaginales,2015-01-01,20,20
"COLCHA ""K""",atencion de partos en servicios,vaginales,2015-01-01,3,3
COLLANA,atencion de partos en servicios,vaginales,2015-01-01,7,7
COLOMI,atencion de partos en servicios,vaginales,2015-01-01,19,19
COLPA BELGICA,atencion de partos en servicios,vaginales,2015-01-01,3,3
COLQUECHACA,atencion de partos en servicios,vaginales,2015-01-01,17,17
COLQUIRI,atencion de partos en servicios,vaginales,2015-01-01,10,10
COMARAPA,atencion de partos en servicios,vaginales,2015-01-01,18,18
COMBAYA,atencion de partos en servicios,vaginales,2015-01-01,4,4
CONCEPCION,atencion de partos en servicios,vaginales,2015-01-01,13,13
COPACABANA,atencion de partos en servicios,vaginales,2015-01-01,11,11
CORIPATA,atencion de partos en servicios,vaginales,2015-01-01,4,4
CORO CORO,atencion de partos en servicios,vaginales,2015-01-01,4,4
COROICO,atencion de partos en servicios,vaginales,2015-01-01,17,17
CORQUE,atencion de partos en servicios,vaginales,2015-01-01,2,2
COTAGAITA,atencion de partos en servicios,vaginales,2015-01-01,3,3
COTOCA,atencion de partos en servicios,vaginales,2015-01-01,64,64
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2015-01-01,19,19
CUEVO,atencion de partos en servicios,vaginales,2015-01-01,3,3
CULPINA,atencion de partos en servicios,vaginales,2015-01-01,16,16
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2015-01-01,2,2
DESAGUADERO,atencion de partos en servicios,vaginales,2015-01-01,5,5
EL ALTO,atencion de partos en servicios,vaginales,2015-01-01,1044,1044
EL PUENTE(STC),atencion de partos en servicios,vaginales,2015-01-01,4,4
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2015-01-01,7,7
EL TORNO,atencion de partos en servicios,vaginales,2015-01-01,73,73
EL VILLAR,atencion de partos en servicios,vaginales,2015-01-01,5,5
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2015-01-01,21,21
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2015-01-01,15,15
ESCOMA,atencion de partos en servicios,vaginales,2015-01-01,7,7
EUCALIPTUS,atencion de partos en servicios,vaginales,2015-01-01,8,8
FILADELFIA,atencion de partos en servicios,vaginales,2015-01-01,7,7
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2015-01-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2015-01-01,4,4
GUANAY,atencion de partos en servicios,vaginales,2015-01-01,15,15
GUAQUI,atencion de partos en servicios,vaginales,2015-01-01,4,4
GUAYARAMERIN,atencion de partos en servicios,vaginales,2015-01-01,72,72
GUTIERREZ,atencion de partos en servicios,vaginales,2015-01-01,7,7
HUACARETA,atencion de partos en servicios,vaginales,2015-01-01,5,5
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2015-01-01,2,2
HUANUNI,atencion de partos en servicios,vaginales,2015-01-01,16,16
HUARACAJE,atencion de partos en servicios,vaginales,2015-01-01,1,1
HUARINA,atencion de partos en servicios,vaginales,2015-01-01,3,3
HUATAJATA,atencion de partos en servicios,vaginales,2015-01-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,vaginales,2015-01-01,1,1
ICLA,atencion de partos en servicios,vaginales,2015-01-01,7,7
INCAHUASI,atencion de partos en servicios,vaginales,2015-01-01,12,12
INGAVI (HUMAITA),atencion de partos en servicios,vaginales,2015-01-01,3,3
INQUISIVI,atencion de partos en servicios,vaginales,2015-01-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2015-01-01,9,9
IXIAMAS,atencion de partos en servicios,vaginales,2015-01-01,10,10
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2015-01-01,5,5
LA ASUNTA,atencion de partos en servicios,vaginales,2015-01-01,42,42
