municipality,group,variable,month,Cesáreas,TOTAL
AIQUILE,atencion de partos en servicios,cesareas,2015-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2015-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2015-01-01,3,3
BAURES,atencion de partos en servicios,cesareas,2015-01-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2015-01-01,25,25
CAMARGO,atencion de partos en servicios,cesareas,2015-01-01,5,5
CAMIRI,atencion de partos en servicios,cesareas,2015-01-01,56,56
CARANAVI,atencion de partos en servicios,cesareas,2015-01-01,6,6
CHALLAPATA,atencion de partos en servicios,cesareas,2015-01-01,9,9
CHARAGUA,atencion de partos en servicios,cesareas,2015-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2015-01-01,8,8
CLIZA,atencion de partos en servicios,cesareas,2015-01-01,15,15
COBIJA,atencion de partos en servicios,cesareas,2015-01-01,79,79
COCHABAMBA,atencion de partos en servicios,cesareas,2015-01-01,883,883
COLCAPIRHUA,atencion de partos en servicios,cesareas,2015-01-01,10,10
COMARAPA,atencion de partos en servicios,cesareas,2015-01-01,12,12
COROICO,atencion de partos en servicios,cesareas,2015-01-01,12,12
COTOCA,atencion de partos en servicios,cesareas,2015-01-01,1,1
EL ALTO,atencion de partos en servicios,cesareas,2015-01-01,225,225
EL TORNO,atencion de partos en servicios,cesareas,2015-01-01,47,47
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2015-01-01,2,2
ESCOMA,atencion de partos en servicios,cesareas,2015-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2015-01-01,45,45
HUANUNI,atencion de partos en servicios,cesareas,2015-01-01,8,8
HUARACAJE,atencion de partos en servicios,cesareas,2015-01-01,1,1
LA PAZ,atencion de partos en servicios,cesareas,2015-01-01,907,907
LLALLAGUA,atencion de partos en servicios,cesareas,2015-01-01,31,31
MAGDALENA,atencion de partos en servicios,cesareas,2015-01-01,9,9
MAIRANA,atencion de partos en servicios,cesareas,2015-01-01,12,12
MIZQUE,atencion de partos en servicios,cesareas,2015-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,cesareas,2015-01-01,19,19
MONTERO,atencion de partos en servicios,cesareas,2015-01-01,160,160
ORURO,atencion de partos en servicios,cesareas,2015-01-01,337,337
PADILLA,atencion de partos en servicios,cesareas,2015-01-01,10,10
PAILON,atencion de partos en servicios,cesareas,2015-01-01,10,10
PORTACHUELO,atencion de partos en servicios,cesareas,2015-01-01,28,28
POTOSI,atencion de partos en servicios,cesareas,2015-01-01,102,102
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2015-01-01,14,14
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2015-01-01,6,6
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2015-01-01,17,17
PUNATA,atencion de partos en servicios,cesareas,2015-01-01,21,21
QUILLACOLLO,atencion de partos en servicios,cesareas,2015-01-01,69,69
REYES,atencion de partos en servicios,cesareas,2015-01-01,4,4
RIBERALTA,atencion de partos en servicios,cesareas,2015-01-01,96,96
ROBORE,atencion de partos en servicios,cesareas,2015-01-01,4,4
RURRENABAQUE,atencion de partos en servicios,cesareas,2015-01-01,19,19
SACABA,atencion de partos en servicios,cesareas,2015-01-01,32,32
SAN BORJA,atencion de partos en servicios,cesareas,2015-01-01,35,35
SAN CARLOS,atencion de partos en servicios,cesareas,2015-01-01,10,10
SAN IGNACIO,atencion de partos en servicios,cesareas,2015-01-01,11,11
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2015-01-01,35,35
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2015-01-01,6,6
SAN JOAQUIN,atencion de partos en servicios,cesareas,2015-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2015-01-01,24,24
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2015-01-01,4,4
SAN JULIAN,atencion de partos en servicios,cesareas,2015-01-01,8,8
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2015-01-01,1,1
SANTA ANA,atencion de partos en servicios,cesareas,2015-01-01,4,4
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2015-01-01,2249,2249
SHINAOTA,atencion de partos en servicios,cesareas,2015-01-01,10,10
SUCRE,atencion de partos en servicios,cesareas,2015-01-01,238,238
TARABUCO,atencion de partos en servicios,cesareas,2015-01-01,2,2
TARIJA,atencion de partos en servicios,cesareas,2015-01-01,231,231
TIQUIPAYA,atencion de partos en servicios,cesareas,2015-01-01,16,16
TOTORA(CBBA),atencion de partos en servicios,cesareas,2015-01-01,6,6
TRINIDAD,atencion de partos en servicios,cesareas,2015-01-01,125,125
TUPIZA,atencion de partos en servicios,cesareas,2015-01-01,21,21
UYUNI,atencion de partos en servicios,cesareas,2015-01-01,4,4
VALLEGRANDE,atencion de partos en servicios,cesareas,2015-01-01,23,23
VIACHA,atencion de partos en servicios,cesareas,2015-01-01,5,5
VILLA MONTES,atencion de partos en servicios,cesareas,2015-01-01,30,30
VILLA TUNARI,atencion de partos en servicios,cesareas,2015-01-01,44,44
VILLAZON,atencion de partos en servicios,cesareas,2015-01-01,11,11
VINTO,atencion de partos en servicios,cesareas,2015-01-01,4,4
WARNES,atencion de partos en servicios,cesareas,2015-01-01,8,8
YACUIBA,atencion de partos en servicios,cesareas,2015-01-01,109,109
YAPACANI,atencion de partos en servicios,cesareas,2015-01-01,19,19
YOTALA,atencion de partos en servicios,cesareas,2015-01-01,1,1
AIQUILE,atencion de partos en servicios,cesareas,2015-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2015-02-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2015-02-01,1,1
BAURES,atencion de partos en servicios,cesareas,2015-02-01,3,3
BERMEJO,atencion de partos en servicios,cesareas,2015-02-01,40,40
BETANZOS,atencion de partos en servicios,cesareas,2015-02-01,1,1
CAMARGO,atencion de partos en servicios,cesareas,2015-02-01,12,12
CAMIRI,atencion de partos en servicios,cesareas,2015-02-01,41,41
CARACOLLO,atencion de partos en servicios,cesareas,2015-02-01,3,3
CARANAVI,atencion de partos en servicios,cesareas,2015-02-01,21,21
CHALLAPATA,atencion de partos en servicios,cesareas,2015-02-01,4,4
CHARAGUA,atencion de partos en servicios,cesareas,2015-02-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2015-02-01,5,5
CLIZA,atencion de partos en servicios,cesareas,2015-02-01,9,9
COBIJA,atencion de partos en servicios,cesareas,2015-02-01,75,75
COCHABAMBA,atencion de partos en servicios,cesareas,2015-02-01,831,831
COLCAPIRHUA,atencion de partos en servicios,cesareas,2015-02-01,4,4
COMARAPA,atencion de partos en servicios,cesareas,2015-02-01,8,8
COROICO,atencion de partos en servicios,cesareas,2015-02-01,9,9
COTOCA,atencion de partos en servicios,cesareas,2015-02-01,9,9
EL ALTO,atencion de partos en servicios,cesareas,2015-02-01,248,248
EL TORNO,atencion de partos en servicios,cesareas,2015-02-01,37,37
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2015-02-01,3,3
ESCOMA,atencion de partos en servicios,cesareas,2015-02-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2015-02-01,44,44
HUANUNI,atencion de partos en servicios,cesareas,2015-02-01,11,11
HUARACAJE,atencion de partos en servicios,cesareas,2015-02-01,6,6
