municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,23,23
ACHOCALLA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,34,34
ALCALA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
ANZALDO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
ARAMPAMPA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
ARANI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,10,10
ARBIETO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,15,15
ARQUE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,55,55
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
AYO AYO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,17,17
BATALLAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,8,8
BELLA FLOR,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
BETANZOS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,20,20
BOLPEBRA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,7,7
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,21,21
CAIROMA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
CAJUATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,14,14
CALAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,24,24
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
CAQUIAVIRI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,11,11
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
CARAPARI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,53,53
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,38,38
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
CHIMORE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,34,34
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,34,34
COCAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,418,418
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,30,30
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
COLOMI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,17,17
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,16,16
COLQUIRI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,10,10
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,29,29
