municipality,group,variable,month,Nacidos muertos,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2015-01-01,2,2
COBIJA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2015-01-01,27,27
COMARAPA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2015-01-01,10,10
EL TORNO,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2015-01-01,2,2
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2015-01-01,25,25
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2015-01-01,3,3
MAGDALENA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2015-01-01,12,12
PADILLA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
POSTRER VALLE,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2015-01-01,4,4
PUERTO CARABUCO,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2015-01-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2015-01-01,2,2
ROBORE,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2015-01-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2015-01-01,4,4
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2015-01-01,18,18
SUCRE,atencion de partos en servicios,nacidos muertos,2015-01-01,5,5
TACACOMA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
TAPACARI,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2015-01-01,4,4
UYUNI,atencion de partos en servicios,nacidos muertos,2015-01-01,2,2
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2015-01-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2015-01-01,3,3
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2015-01-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2015-01-01,2,2
YANACACHI,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
YAPACANI,atencion de partos en servicios,nacidos muertos,2015-01-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
BAURES,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
CALAMARCA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2015-02-01,3,3
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2015-02-01,4,4
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2015-02-01,21,21
COPACABANA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2015-02-01,17,17
HUANUNI,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2015-02-01,18,18
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
MIZQUE,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2015-02-01,6,6
POTOSI,atencion de partos en servicios,nacidos muertos,2015-02-01,7,7
PUNATA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
QUIME,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2015-02-01,5,5
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2015-02-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2015-02-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2015-02-01,39,39
SUCRE,atencion de partos en servicios,nacidos muertos,2015-02-01,5,5
TARIJA,atencion de partos en servicios,nacidos muertos,2015-02-01,4,4
TRINIDAD,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
TUPIZA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2015-02-01,3,3
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2015-02-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
YAPACANI,atencion de partos en servicios,nacidos muertos,2015-02-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
BUENA VISTA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
CLIZA,atencion de partos en servicios,nacidos muertos,2015-03-01,2,2
COBIJA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2015-03-01,25,25
COLOMI,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2015-03-01,17,17
EL TORNO,atencion de partos en servicios,nacidos muertos,2015-03-01,2,2
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2015-03-01,2,2
HUACARETA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2015-03-01,23,23
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2015-03-01,6,6
ORURO,atencion de partos en servicios,nacidos muertos,2015-03-01,9,9
PAMPA GRANDE,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2015-03-01,6,6
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2015-03-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
REYES,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2015-03-01,3,3
SACABA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
SACACA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos muertos,2015-03-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2015-03-01,31,31
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos,2015-03-01,5,5
TARIJA,atencion de partos en servicios,nacidos muertos,2015-03-01,5,5
TRINIDAD,atencion de partos en servicios,nacidos muertos,2015-03-01,2,2
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2015-03-01,4,4
VINTO,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos,2015-03-01,4,4
YACUIBA,atencion de partos en servicios,nacidos muertos,2015-03-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
ARANI,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
CLIZA,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2015-04-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2015-04-01,26,26
COTAGAITA,atencion de partos en servicios,nacidos muertos,2015-04-01,3,3
COTOCA,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2015-04-01,23,23
ESCOMA,atencion de partos en servicios,nacidos muertos,2015-04-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
INCAHUASI,atencion de partos en servicios,nacidos muertos,2015-04-01,2,2
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2015-04-01,1,1
