municipality,group,variable,month,Viviendas rociadas por agente comunario,TOTAL
PUERTO SILES,malaria,viviendas rociadas por agente comunario,2005-01-01,2.0,2.0
SAN JOAQUIN,malaria,viviendas rociadas por agente comunario,2005-01-01,1.0,1.0
BERMEJO,malaria,viviendas rociadas por agente comunario,2005-02-01,286.0,286.0
GUAYARAMERIN,malaria,viviendas rociadas por agente comunario,2005-03-01,1.0,1.0
AZURDUY,malaria,viviendas rociadas por agente comunario,2005-05-01,1.0,1.0
HUACARETA,malaria,viviendas rociadas por agente comunario,2005-05-01,4.0,4.0
SOPACHUY,malaria,viviendas rociadas por agente comunario,2005-05-01,3.0,3.0
TOMINA,malaria,viviendas rociadas por agente comunario,2005-05-01,183.0,183.0
VILLA MONTES,malaria,viviendas rociadas por agente comunario,2005-05-01,14.0,14.0
BELLA FLOR,malaria,viviendas rociadas por agente comunario,2005-06-01,150.0,150.0
GUTIERREZ,malaria,viviendas rociadas por agente comunario,2005-06-01,86.0,86.0
MAGDALENA,malaria,viviendas rociadas por agente comunario,2005-07-01,50.0,50.0
MONTEAGUDO,malaria,viviendas rociadas por agente comunario,2005-08-01,12.0,12.0
SIPE SIPE,malaria,viviendas rociadas por agente comunario,2005-08-01,1.0,1.0
MAGDALENA,malaria,viviendas rociadas por agente comunario,2005-09-01,28.0,28.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por agente comunario,2005-09-01,220.0,220.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por agente comunario,2005-10-01,21.0,21.0
SAN LORENZO(PND),malaria,viviendas rociadas por agente comunario,2005-10-01,1.0,1.0
ARQUE,malaria,viviendas rociadas por agente comunario,2005-11-01,1.0,1.0
BUENA VISTA,malaria,viviendas rociadas por agente comunario,2005-11-01,215.0,215.0
GENERAL SAAVEDRA,malaria,viviendas rociadas por agente comunario,2005-11-01,100.0,100.0
SANTA CRUZ DE LA SIERRA,malaria,viviendas rociadas por agente comunario,2005-11-01,1.0,1.0
