municipality,group,variable,month,Viviendas rociadas por agente comunario,TOTAL
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por agente comunario,2006-01-01,85,85
SAN LORENZO(PND),malaria,viviendas rociadas por agente comunario,2006-01-01,1,1
TIPUANI,malaria,viviendas rociadas por agente comunario,2006-01-01,2,2
ENTRE RIOS,malaria,viviendas rociadas por agente comunario,2006-02-01,1,1
SANTA ROSA DEL SARA,malaria,viviendas rociadas por agente comunario,2006-02-01,119,119
SIPE SIPE,malaria,viviendas rociadas por agente comunario,2006-02-01,3,3
BAURES,malaria,viviendas rociadas por agente comunario,2006-03-01,85,85
OMEREQUE,malaria,viviendas rociadas por agente comunario,2006-03-01,1,1
SIPE SIPE,malaria,viviendas rociadas por agente comunario,2006-03-01,3,3
AIQUILE,malaria,viviendas rociadas por agente comunario,2006-04-01,2,2
MAGDALENA,malaria,viviendas rociadas por agente comunario,2006-04-01,7,7
MONTEAGUDO,malaria,viviendas rociadas por agente comunario,2006-04-01,1,1
GUAYARAMERIN,malaria,viviendas rociadas por agente comunario,2006-05-01,7,7
BETANZOS,malaria,viviendas rociadas por agente comunario,2006-06-01,7,7
COTAGAITA,malaria,viviendas rociadas por agente comunario,2006-06-01,35,35
MAGDALENA,malaria,viviendas rociadas por agente comunario,2006-06-01,20,20
SAN IGNACIO,malaria,viviendas rociadas por agente comunario,2006-06-01,10,10
GENERAL SAAVEDRA,malaria,viviendas rociadas por agente comunario,2006-07-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por agente comunario,2006-07-01,1,1
OMEREQUE,malaria,viviendas rociadas por agente comunario,2006-07-01,1,1
RIBERALTA,malaria,viviendas rociadas por agente comunario,2006-07-01,318,318
YACUIBA,malaria,viviendas rociadas por agente comunario,2006-07-01,59,59
EUREKA (SANTOS MERCADO),malaria,viviendas rociadas por agente comunario,2006-08-01,46,46
RIBERALTA,malaria,viviendas rociadas por agente comunario,2006-08-01,70,70
SIPE SIPE,malaria,viviendas rociadas por agente comunario,2006-08-01,1,1
BAURES,malaria,viviendas rociadas por agente comunario,2006-09-01,38,38
BAURES,malaria,viviendas rociadas por agente comunario,2006-10-01,95,95
BELLA FLOR,malaria,viviendas rociadas por agente comunario,2006-10-01,1,1
PAMPA GRANDE,malaria,viviendas rociadas por agente comunario,2006-10-01,2,2
TARIJA,malaria,viviendas rociadas por agente comunario,2006-10-01,25,25
BERMEJO,malaria,viviendas rociadas por agente comunario,2006-11-01,20,20
INGAVI (HUMAITA),malaria,viviendas rociadas por agente comunario,2006-11-01,14,14
PUNATA,malaria,viviendas rociadas por agente comunario,2006-11-01,5,5
SACABAMBA,malaria,viviendas rociadas por agente comunario,2006-11-01,1,1
YOTALA,malaria,viviendas rociadas por agente comunario,2006-12-01,17,17
