municipality,group,variable,month,Total Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
ACHACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,465,465
AIQUILE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1488,1488
ALALAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
ALCALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
ANTEQUERA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,30,30
ANZALDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,403,403
APOLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,279,279
ARAMPAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
ARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
ARBIETO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
ARQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1088,1088
ATOCHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,952,952
AYO AYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,806,806
AZURDUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,360,360
BAURES,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,25,25
BERMEJO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,360,360
BETANZOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
BOLIVAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,54,54
BOYUIBE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,403,403
BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,246,246
CABEZAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,310,310
CAIROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,90,90
CAMARGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,959,959
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,2800,2800
CAPINOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,372,372
CARACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
CARANAVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1085,1085
CARIPUYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,253,253
CHALLAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,744,744
CHAQUI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,90,90
CHARAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,273,273
CHAYANTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,120,120
CHIMORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,245,245
CHUMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
CKOCHAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
CLIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,403,403
COBIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,3323,3323
COCAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
COCHABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,55592,55592
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1180,1180
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
COLOMI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
COLPA BELGICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
COLQUECHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
COLQUIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
COMARAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,434,434
CONCEPCION,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,310,310
COPACABANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,8,8
CORO CORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,90,90
COROICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,992,992
COTOCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,682,682
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,260,260
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
CUEVO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
CULPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,465,465
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
EL ALTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,18039,18039
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
EL TORNO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,2976,2976
EL VILLAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
ESCOMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
FILADELFIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,58,58
