municipality,group,variable,month,Total Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,124,124
AIQUILE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,117,117
ANTEQUERA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
ANZALDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,79,79
APOLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,18,18
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,5,5
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,265,265
ATOCHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,320,320
AYO AYO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,43,43
AZURDUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,29,29
BAURES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,56,56
BELLA FLOR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,6,6
BERMEJO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,369,369
BETANZOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,35,35
BOLIVAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,9,9
BOYUIBE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,41,41
BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,44,44
CABEZAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,54,54
CAIROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,4,4
CAJUATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,43,43
CAMARGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,385,385
CAMIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1279,1279
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,27,27
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,21,21
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,363,363
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,21,21
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,248,248
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,82,82
CHAYANTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,10,10
CHUMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,3,3
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,122,122
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1697,1697
COCAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,30,30
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,36213,36213
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,177,177
"COLCHA ""K""",internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,61,61
COLQUECHACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2,2
COLQUIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,4,4
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,192,192
CONCEPCION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,36,36
COPACABANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
COROICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,413,413
COTOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,229,229
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1080,1080
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,13,13
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,47,47
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,14450,14450
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,20,20
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1023,1023
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,87,87
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,20,20
ESCOMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,26,26
FILADELFIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,32,32
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,109,109
GUANAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,25,25
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1327,1327
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,36,36
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,124,124
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,8,8
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,707,707
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,32,32
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,10,10
ICLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,3,3
INCAHUASI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,3,3
INQUISIVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,34,34
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,31,31
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,52,52
LA ASUNTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,72,72
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,51545,51545
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,9,9
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,3,3
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,508,508
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,8,8
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,197,197
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,65,65
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,17,17
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,12,12
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,68,68
MOJOCOYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,7,7
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,448,448
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2543,2543
MORO MORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2,2
MOROCHATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
OKINAWA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,15,15
OMEREQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,19,19
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,3596,3596
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,223,223
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,100,100
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,62,62
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,48,48
PASORAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,8,8
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,56,56
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,704,704
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,9,9
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,7335,7335
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2,2
PUCARA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
PUCARANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,6,6
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,3,3
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,187,187
PUERTO RICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,39,39
PUERTO SUAREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,326,326
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,413,413
PUNATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,781,781
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,220,220
QUIME,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,38,38
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2,2
REYES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,39,39
RIBERALTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2741,2741
ROBORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,186,186
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,431,431
SACABA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,741,741
SACABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,6,6
SACACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,10,10
SAIPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,10,10
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,3,3
SAMAIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,27,27
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,21,21
SAN BENITO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,7,7
SAN BORJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,390,390
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,41,41
SAN CARLOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,422,422
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,146,146
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1139,1139
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,56,56
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,85,85
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,143,143
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,167,167
SAN JULIAN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,186,186
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,21,21
SAN LUCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,70,70
SAN MATIAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,83,83
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,34,34
SAN PEDRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,11,11
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,46,46
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,74,74
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,30,30
SANTA ANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,203,203
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,35407,35407
SANTA ROSA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,58,58
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,30,30
SANTIAGO DE CALLAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2,2
SENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,23,23
SHINAOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,131,131
SOPACHUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,87,87
SORATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,21,21
SUCRE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,24505,24505
TACOPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,3,3
TARABUCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,106,106
TARATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,4,4
TARIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,11915,11915
TARVITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,12,12
TEOPONTE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,5,5
TIPUANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,81,81
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,202,202
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,7,7
TOMINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,12,12
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,35,35
TRIGAL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,11,11
TRINIDAD,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2685,2685
TUPIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,856,856
UNCIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,5,5
URUBICHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,13,13
UYUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,327,327
VACAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,1,1
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,510,510
VIACHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,196,196
VILLA MONTES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,470,470
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,11,11
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,22,22
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,583,583
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,10,10
VILLAZON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,586,586
VINTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,86,86
WARNES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,532,532
YACUIBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,2350,2350
YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,419,419
YOTALA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,44,44
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-01-01,24,24
