municipality,group,variable,month,Controles repetidos en niños de 2 años de < 5 NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,128,128,105,233
ACHACACHI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,217,217,256,473
ACHOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,17,17,12,29
AIQUILE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,24,24,30,54
ALALAY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,27,27,21,48
ANCORAIMES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,157,157,175,332
ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,23,23,25,48
ANTEQUERA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,13,13,14,27
ANZALDO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,10,10,10,20
APOLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,74,74,88,162
ARAMPAMPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,47,47,50,97
ARANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,20,20,16,36
ARBIETO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,22,22,24,46
ARQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,57,57,68,125
ATOCHA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,106,106,108,214
AUCAPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,16,16,13,29
AYATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,31,31,33,64
AYO AYO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,28,28,21,49
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,91,91,75,166
BATALLAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,84,84,69,153
BAURES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,34,34,42,76
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,4,4,4,8
BELEN DE URMIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,16,16,15,31
BELLA FLOR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,21,21,19,40
BERMEJO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,19,19,26,45
BETANZOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,311,311,347,658
BOLIVAR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,99,99,81,180
BOLPEBRA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,11,19
BOYUIBE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,23,23,23,46
BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,210,210,196,406
CABEZAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,14,14,4,18
CAIROMA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,88,88,102,190
"CAIZA ""D""",nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,64,64,53,117
CAJUATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,69,69,58,127
CALACOTO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,15,23
CALAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,75,75,85,160
CAMIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,244,244,192,436
CAPINOTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,73,73,64,137
CAQUIAVIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,18,18,18,36
CARACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,57,57,59,116
CARANAVI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,208,208,213,421
CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,0,0,3,3
CARAPARI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,78,78,88,166
CARIPUYO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,167,167,157,324
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,19,19,14,33
CATACORA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,18,18,26,44
CHACARILLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,1,1,4,5
CHALLAPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,87,87,98,185
CHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,19,19,18,37
CHARAGUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,280,280,250,530
CHARAÑA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,21,21,24,45
CHAYANTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,152,152,185,337
CHIMORE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,45,45,48,93
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,66,66,58,124
CHUMA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,29,29,44,73
CLIZA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,29,29,45,74
COBIJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,214,214,222,436
COCHABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,758,758,754,1512
COIPASA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,4,4,13,17
COLCAPIRHUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,53,53,41,94
"COLCHA ""K""",nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,28,28,50,78
COLOMI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,41,41,59,100
COLPA BELGICA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,1,1,2,3
COLQUECHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,82,82,77,159
COLQUENCHA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,17,17,40,57
COMANCHE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,7,7,6,13
COMARAPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,89,89,86,175
CONCEPCION,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,10,10,8,18
COPACABANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,84,84,70,154
CORIPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,15,15,14,29
CORO CORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,35,35,26,61
COROICO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,7,7,8,15
CORQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,32,32,22,54
COTAGAITA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,250,250,236,486
COTOCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,96,96,100,196
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,14,14,10,24
CUEVO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,60,60,78,138
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,17,17,11,28
CURVA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,14,14,17,31
DESAGUADERO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,14,14,11,25
EL ALTO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,1565,1565,1513,3078
EL CHORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,10,10,12,22
EL PUENTE(STC),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,105,105,103,208
EL PUENTE(TJA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,121,121,131,252
EL TORNO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,97,97,90,187
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,154,154,129,283
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,88,88,81,169
EUCALIPTUS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,30,30,22,52
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,12,12,11,23
EXALTACION,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,23,23,33,56
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,164,164,150,314
FILADELFIA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,40,40,38,78
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,287,287,259,546
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,40,40,36,76
GUANAY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,69,69,87,156
GUAQUI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,12,12,12,24
GUAYARAMERIN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,221,221,229,450
GUTIERREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,260,260,268,528
HUACHACALLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,3,3,1,4
HUANUNI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,88,88,73,161
HUARACAJE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,21,21,22,43
HUAYLLAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,11,11,7,18
ICHOCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,20,20,23,43
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,9,9,2,11
INQUISIVI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,85,85,94,179
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,135,135,115,250
IXIAMAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,90,90,76,166
JESUS DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,34,34,31,65
LA ASUNTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,50,50,36,86
LA GUARDIA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,157,157,193,350
LA PAZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,1391,1391,1439,2830
LAGUNILLAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,82,82,71,153
LAJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,3,3,2,5
LICOMA PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,9,9,6,15
LLALLAGUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,168,168,159,327
LLICA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,14,14,6,20
LORETO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,12,12,6,18
LURIBAY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,57,57,74,131
MACHACAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,8,16
MAGDALENA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,66,66,69,135
MAIRANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,47,47,37,84
MALLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,7,15
MAPIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,62,62,42,104
MECAPACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,46,46,57,103
MINEROS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,118,118,115,233
MIZQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,64,64,48,112
MOCOMOCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,75,75,74,149
MOJINETE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,12,12,10,22
MONTERO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,536,536,566,1102
MORO MORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,53,53,36,89
MOROCHATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,21,21,12,33
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,29,29,19,48
NAZACARA DE PACAJES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,4,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,4,4,12,16
OCURI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,158,158,160,318
OKINAWA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,58,58,41,99
OMEREQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,4,12
ORURO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,579,579,560,1139
PADCAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,137,137,129,266
PAILON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,97,97,93,190
PALCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,21,21,30,51
PALOS BLANCOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,168,168,173,341
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,11,19
PAMPA GRANDE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,60,60,90,150
PAPEL PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,15,15,13,28
PASORAPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,16,16,14,30
PATACAMAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,139,139,144,283
PAZÑA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,30,30,32,62
PELECHUCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,18,18,25,43
POCOATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,202,202,193,395
POCONA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,16,16,17,33
POJO (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,93,93,141,234
POOPO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,10,10,7,17
PORCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,15,15,18,33
PORONGO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,28,28,17,45
PORTACHUELO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,22,22,32,54
