municipality,group,variable,month,Controles repetidos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,76,76,72,148
ACHACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,183,183,201,384
ACHOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,23,23,12,35
AIQUILE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,44,44,43,87
ALALAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,14,14,22,36
ANCORAIMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,120,120,137,257
ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,11,11,19,30
ANTEQUERA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,8,8,13,21
ANZALDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,7,7,2,9
APOLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,95,95,72,167
ARAMPAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,31,31,32,63
ARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,44,44,47,91
ARBIETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,42,42,46,88
ARQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,63,63,60,123
ATOCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,168,168,144,312
AUCAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,21,21,15,36
AYATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,70,70,35,105
AYO AYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,41,41,46,87
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,97,97,103,200
BATALLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,107,107,97,204
BAURES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,48,48,53,101
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,6,6,7,13
BELEN DE URMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,7,7,6,13
BELLA FLOR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,17,17,12,29
BERMEJO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,29,29,26,55
BETANZOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,261,261,303,564
BOLIVAR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,77,77,77,154
BOLPEBRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,16,16,2,18
BOYUIBE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,15,15,16,31
BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,206,206,177,383
CABEZAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,11,11,9,20
CAIROMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,91,91,96,187
"CAIZA ""D""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,69,69,69,138
CAJUATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,84,84,67,151
CALACOTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,9,9,15,24
CALAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,108,108,95,203
CAMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,318,318,298,616
CAPINOTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,111,111,122,233
CAQUIAVIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,60,60,57,117
CARACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,72,72,72,144
CARANAVI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,312,312,238,550
CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,3,3,1,4
CARAPARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,109,109,104,213
CARIPUYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,93,93,86,179
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,15,15,9,24
CATACORA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,14,14,9,23
CHACARILLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,1,1,3,4
CHALLAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,91,91,102,193
CHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,25,25,31,56
CHARAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,218,218,210,428
CHARAÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,12,12,20,32
CHAYANTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,175,175,129,304
CHIMORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,73,73,62,135
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,57,57,51,108
CHUMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,50,50,47,97
CLIZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,76,76,66,142
COBIJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,277,277,295,572
COCHABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,1241,1241,1061,2302
COIPASA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,2,2,7,9
COLCAPIRHUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,77,77,66,143
"COLCHA ""K""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,55,55,40,95
COLOMI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,87,87,79,166
COLPA BELGICA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,4,4,2,6
COLQUECHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,132,132,105,237
COLQUENCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,38,38,40,78
COMANCHE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,14,14,8,22
