municipality,group,variable,month,Controles nuevos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,8,14
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,175,175,170,345
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,26,26,34,60
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,57,57,40,97
ALALAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,15,15,10,25
ALCALA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,42,42,46,88
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,13,13,12,25
ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,8,16
ANTEQUERA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,13,13,15,28
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,9,9,11,20
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,14,14,13,27
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,31,31,22,53
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,6,9
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,3,6
ARQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,18,18,15,33
ATOCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,13,13,7,20
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,15,15,15,30
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,29,29,23,52
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,11,11,14,25
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,19,19,25,44
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,303,303,291,594
