,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
CONCEPCION,rabia,no de personas con esquema clasico completo,2023-02-01,1,1,1,1,2
CORIPATA,rabia,no de personas con esquema clasico completo,2023-02-01,2,0,2,0,2
COROICO,rabia,no de personas con esquema clasico completo,2023-02-01,2,0,2,0,2
EL ALTO,rabia,no de personas con esquema clasico completo,2023-02-01,19,18,19,18,37
EL TORNO,rabia,no de personas con esquema clasico completo,2023-02-01,3,2,3,2,5
ENTRE RIOS TRJ,rabia,no de personas con esquema clasico completo,2023-02-01,0,1,0,1,1
GUANAY,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-02-01,9,11,9,11,20
LA PAZ,rabia,no de personas con esquema clasico completo,2023-02-01,43,42,43,42,85
LAJA,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
OCURI,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2023-02-01,3,3,3,3,6
PADILLA,rabia,no de personas con esquema clasico completo,2023-02-01,3,1,3,1,4
POOPO,rabia,no de personas con esquema clasico completo,2023-02-01,1,1,1,1,2
PORONGO,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
PUCARANI,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-02-01,1,1,1,1,2
PUNATA,rabia,no de personas con esquema clasico completo,2023-02-01,1,1,1,1,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-02-01,1,1,1,1,2
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2023-02-01,1,5,1,5,6
SAN CARLOS,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-02-01,49,42,49,42,91
SORATA,rabia,no de personas con esquema clasico completo,2023-02-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2023-02-01,5,3,5,3,8
TEOPONTE,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2023-02-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-02-01,24,15,24,15,39
TUPIZA,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
URUBICHA,rabia,no de personas con esquema clasico completo,2023-02-01,0,2,0,2,2
VIACHA,rabia,no de personas con esquema clasico completo,2023-02-01,2,2,2,2,4
WARNES,rabia,no de personas con esquema clasico completo,2023-02-01,9,7,9,7,16
YOCALLA,rabia,no de personas con esquema clasico completo,2023-02-01,0,1,0,1,1
YOTALA,rabia,no de personas con esquema clasico completo,2023-02-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-03-01,0,1,0,1,1
BATALLAS,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2023-03-01,0,1,0,1,1
CAQUIAVIRI,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-03-01,12,12,12,12,24
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2023-03-01,0,1,0,1,1
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
CONCEPCION,rabia,no de personas con esquema clasico completo,2023-03-01,0,1,0,1,1
COPACABANA,rabia,no de personas con esquema clasico completo,2023-03-01,2,0,2,0,2
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2023-03-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2023-03-01,28,26,28,26,54
EL TORNO,rabia,no de personas con esquema clasico completo,2023-03-01,4,6,4,6,10
ICLA,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-03-01,7,8,7,8,15
LA PAZ,rabia,no de personas con esquema clasico completo,2023-03-01,63,43,63,43,106
ORURO,rabia,no de personas con esquema clasico completo,2023-03-01,8,5,8,5,13
PAILON,rabia,no de personas con esquema clasico completo,2023-03-01,3,4,3,4,7
PALCA,rabia,no de personas con esquema clasico completo,2023-03-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema clasico completo,2023-03-01,2,1,2,1,3
PORCO,rabia,no de personas con esquema clasico completo,2023-03-01,1,1,1,1,2
PORONGO,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2023-03-01,1,2,1,2,3
PUCARANI,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-03-01,3,0,3,0,3
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2023-03-01,0,1,0,1,1
SAMAIPATA,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2023-03-01,3,4,3,4,7
SAN CARLOS,rabia,no de personas con esquema clasico completo,2023-03-01,1,1,1,1,2
SAN JULIAN,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
SAN MATIAS,rabia,no de personas con esquema clasico completo,2023-03-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-03-01,72,71,72,71,143
SANTIVAÑES,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
SORATA,rabia,no de personas con esquema clasico completo,2023-03-01,2,0,2,0,2
SUCRE,rabia,no de personas con esquema clasico completo,2023-03-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2023-03-01,7,3,7,3,10
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-03-01,14,16,14,16,30
VIACHA,rabia,no de personas con esquema clasico completo,2023-03-01,5,1,5,1,6
WARNES,rabia,no de personas con esquema clasico completo,2023-03-01,9,2,9,2,11
YAMPARAEZ,rabia,no de personas con esquema clasico completo,2023-03-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
CABEZAS,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
CAMARGO,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema clasico completo,2023-04-01,2,0,2,0,2
CHALLAPATA,rabia,no de personas con esquema clasico completo,2023-04-01,0,2,0,2,2
CHAQUI,rabia,no de personas con esquema clasico completo,2023-04-01,0,3,0,3,3
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-04-01,7,10,7,10,17
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
COLQUIRI,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
COTAGAITA,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2023-04-01,3,4,3,4,7
EL ALTO,rabia,no de personas con esquema clasico completo,2023-04-01,25,18,25,18,43
EL TORNO,rabia,no de personas con esquema clasico completo,2023-04-01,9,7,9,7,16
HUACARETA,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
HUARINA,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-04-01,10,11,10,11,21
LA PAZ,rabia,no de personas con esquema clasico completo,2023-04-01,50,48,50,48,98
LAJA,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
MAIRANA,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
MECAPACA,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2023-04-01,3,2,3,2,5
PAILON,rabia,no de personas con esquema clasico completo,2023-04-01,2,0,2,0,2
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
PUCARANI,rabia,no de personas con esquema clasico completo,2023-04-01,0,2,0,2,2
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
PUNA,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-04-01,1,1,1,1,2
ROBORE,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2023-04-01,0,2,0,2,2
SAN BORJA,rabia,no de personas con esquema clasico completo,2023-04-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema clasico completo,2023-04-01,3,1,3,1,4
SAN JULIAN,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-04-01,99,88,99,88,187
SUCRE,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
TARABUCO,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
TARATA,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2023-04-01,12,3,12,3,15
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-04-01,9,7,9,7,16
UNCIA,rabia,no de personas con esquema clasico completo,2023-04-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2023-04-01,5,4,5,4,9
VILLAZON,rabia,no de personas con esquema clasico completo,2023-04-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2023-04-01,4,4,4,4,8
YACUIBA,rabia,no de personas con esquema clasico completo,2023-04-01,1,2,1,2,3
YOTALA,rabia,no de personas con esquema clasico completo,2023-04-01,2,0,2,0,2
ACHACACHI,rabia,no de personas con esquema clasico completo,2023-05-01,2,0,2,0,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-05-01,2,1,2,1,3
APOLO,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
ATOCHA,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-05-01,2,0,2,0,2
CARAPARI,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2023-05-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-05-01,12,10,12,10,22
COLOMI,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
COMARAPA,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
COPACABANA,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2023-05-01,2,4,2,4,6
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2023-05-01,0,2,0,2,2
EL ALTO,rabia,no de personas con esquema clasico completo,2023-05-01,20,33,20,33,53
EL TORNO,rabia,no de personas con esquema clasico completo,2023-05-01,6,6,6,6,12
HUACARETA,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-05-01,5,2,5,2,7
LA PAZ,rabia,no de personas con esquema clasico completo,2023-05-01,32,27,32,27,59
MOCOMOCO,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2023-05-01,2,0,2,0,2
PAILON,rabia,no de personas con esquema clasico completo,2023-05-01,1,2,1,2,3
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
PORCO,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2023-05-01,2,2,2,2,4
POTOSI,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
PUCARANI,rabia,no de personas con esquema clasico completo,2023-05-01,2,0,2,0,2
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-05-01,2,0,2,0,2
QUIRUSILLAS,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2023-05-01,4,2,4,2,6
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2023-05-01,6,2,6,2,8
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-05-01,95,70,95,70,165
SANTA ROSA DEL SARA,rabia,no de personas con esquema clasico completo,2023-05-01,2,1,2,1,3
SANTIAGO DE HUATA,rabia,no de personas con esquema clasico completo,2023-05-01,1,1,1,1,2
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
SORATA,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2023-05-01,3,1,3,1,4
TARIJA,rabia,no de personas con esquema clasico completo,2023-05-01,9,2,9,2,11
TEOPONTE,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
TIAHUANACU,rabia,no de personas con esquema clasico completo,2023-05-01,1,1,1,1,2
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-05-01,11,7,11,7,18
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2023-05-01,3,2,3,2,5
VILLAZON,rabia,no de personas con esquema clasico completo,2023-05-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2023-05-01,1,1,1,1,2
WARNES,rabia,no de personas con esquema clasico completo,2023-05-01,4,4,4,4,8
YACUIBA,rabia,no de personas con esquema clasico completo,2023-05-01,4,1,4,1,5
YAPACANI,rabia,no de personas con esquema clasico completo,2023-05-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
ATOCHA,rabia,no de personas con esquema clasico completo,2023-06-01,2,0,2,0,2
CAMIRI,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-06-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-06-01,11,5,11,5,16
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
COLOMI,rabia,no de personas con esquema clasico completo,2023-06-01,1,1,1,1,2
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
COROICO,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2023-06-01,5,4,5,4,9
EL ALTO,rabia,no de personas con esquema clasico completo,2023-06-01,25,23,25,23,48
EL TORNO,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
HUACARETA,rabia,no de personas con esquema clasico completo,2023-06-01,1,1,1,1,2
HUANUNI,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
ICLA,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-06-01,7,1,7,1,8
LA PAZ,rabia,no de personas con esquema clasico completo,2023-06-01,54,51,54,51,105
LAJA,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2023-06-01,2,0,2,0,2
PORTACHUELO,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2023-06-01,88,11,88,11,99
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-06-01,0,2,0,2,2
PUNATA,rabia,no de personas con esquema clasico completo,2023-06-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-06-01,5,3,5,3,8
REYES,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2023-06-01,1,2,1,2,3
SAN JULIAN,rabia,no de personas con esquema clasico completo,2023-06-01,2,1,2,1,3
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-06-01,44,59,44,59,103
SHINAOTA,rabia,no de personas con esquema clasico completo,2023-06-01,1,1,1,1,2
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2023-06-01,1,1,1,1,2
TARIJA,rabia,no de personas con esquema clasico completo,2023-06-01,14,12,14,12,26
TIPUANI,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2023-06-01,0,2,0,2,2
TOLATA,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-06-01,10,9,10,9,19
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2023-06-01,1,0,1,0,1
VITICHI,rabia,no de personas con esquema clasico completo,2023-06-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2023-06-01,2,1,2,1,3
ACHACACHI,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-07-01,2,2,2,2,4
ANCORAIMES,rabia,no de personas con esquema clasico completo,2023-07-01,0,1,0,1,1
ARANI,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
BAURES,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2023-07-01,0,2,0,2,2
CAPINOTA,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-07-01,2,0,2,0,2
CARAPARI,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
CLIZA,rabia,no de personas con esquema clasico completo,2023-07-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-07-01,13,13,13,13,26
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2023-07-01,1,2,1,2,3
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2023-07-01,2,0,2,0,2
COROICO,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2023-07-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2023-07-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2023-07-01,39,43,39,43,82
EL TORNO,rabia,no de personas con esquema clasico completo,2023-07-01,4,3,4,3,7
HUANUNI,rabia,no de personas con esquema clasico completo,2023-07-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-07-01,9,7,9,7,16
LA PAZ,rabia,no de personas con esquema clasico completo,2023-07-01,31,42,31,42,73
ORURO,rabia,no de personas con esquema clasico completo,2023-07-01,1,1,1,1,2
PALCA,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2023-07-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-07-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-07-01,2,5,2,5,7
SACABA,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2023-07-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema clasico completo,2023-07-01,8,0,8,0,8
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2023-07-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-07-01,59,62,59,62,121
SANTA ROSA DEL SARA,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2023-07-01,2,2,2,2,4
TARIJA,rabia,no de personas con esquema clasico completo,2023-07-01,6,4,6,4,10
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2023-07-01,1,1,1,1,2
TOLATA,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-07-01,12,12,12,12,24
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2023-07-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2023-07-01,3,1,3,1,4
VINTO,rabia,no de personas con esquema clasico completo,2023-07-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2023-07-01,7,10,7,10,17
YAPACANI,rabia,no de personas con esquema clasico completo,2023-07-01,1,2,1,2,3
ACHACACHI,rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
APOLO,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema clasico completo,2023-08-01,0,2,0,2,2
