municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2016-01-01,2,2
AIQUILE,atencion de partos en servicios,cesareas,2016-01-01,13,13
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2016-01-01,26,26
ATOCHA,atencion de partos en servicios,cesareas,2016-01-01,2,2
BERMEJO,atencion de partos en servicios,cesareas,2016-01-01,14,14
CAMARGO,atencion de partos en servicios,cesareas,2016-01-01,10,10
CAMIRI,atencion de partos en servicios,cesareas,2016-01-01,46,46
CARANAVI,atencion de partos en servicios,cesareas,2016-01-01,22,22
CHALLAPATA,atencion de partos en servicios,cesareas,2016-01-01,5,5
CHARAGUA,atencion de partos en servicios,cesareas,2016-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2016-01-01,13,13
CLIZA,atencion de partos en servicios,cesareas,2016-01-01,8,8
COBIJA,atencion de partos en servicios,cesareas,2016-01-01,70,70
COCHABAMBA,atencion de partos en servicios,cesareas,2016-01-01,923,923
COLCAPIRHUA,atencion de partos en servicios,cesareas,2016-01-01,2,2
COMARAPA,atencion de partos en servicios,cesareas,2016-01-01,10,10
COROICO,atencion de partos en servicios,cesareas,2016-01-01,4,4
COTOCA,atencion de partos en servicios,cesareas,2016-01-01,3,3
CULPINA,atencion de partos en servicios,cesareas,2016-01-01,3,3
EL ALTO,atencion de partos en servicios,cesareas,2016-01-01,349,349
EL TORNO,atencion de partos en servicios,cesareas,2016-01-01,49,49
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2016-01-01,1,1
GUANAY,atencion de partos en servicios,cesareas,2016-01-01,3,3
GUAYARAMERIN,atencion de partos en servicios,cesareas,2016-01-01,60,60
HUANUNI,atencion de partos en servicios,cesareas,2016-01-01,16,16
LA PAZ,atencion de partos en servicios,cesareas,2016-01-01,718,718
LLALLAGUA,atencion de partos en servicios,cesareas,2016-01-01,20,20
MAGDALENA,atencion de partos en servicios,cesareas,2016-01-01,3,3
MAIRANA,atencion de partos en servicios,cesareas,2016-01-01,9,9
MIZQUE,atencion de partos en servicios,cesareas,2016-01-01,7,7
MONTEAGUDO,atencion de partos en servicios,cesareas,2016-01-01,18,18
MONTERO,atencion de partos en servicios,cesareas,2016-01-01,228,228
ORURO,atencion de partos en servicios,cesareas,2016-01-01,339,339
PADILLA,atencion de partos en servicios,cesareas,2016-01-01,6,6
PAILON,atencion de partos en servicios,cesareas,2016-01-01,17,17
PORTACHUELO,atencion de partos en servicios,cesareas,2016-01-01,31,31
POTOSI,atencion de partos en servicios,cesareas,2016-01-01,137,137
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2016-01-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2016-01-01,12,12
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2016-01-01,36,36
PUNATA,atencion de partos en servicios,cesareas,2016-01-01,22,22
QUILLACOLLO,atencion de partos en servicios,cesareas,2016-01-01,36,36
REYES,atencion de partos en servicios,cesareas,2016-01-01,9,9
RIBERALTA,atencion de partos en servicios,cesareas,2016-01-01,110,110
ROBORE,atencion de partos en servicios,cesareas,2016-01-01,9,9
RURRENABAQUE,atencion de partos en servicios,cesareas,2016-01-01,12,12
SACABA,atencion de partos en servicios,cesareas,2016-01-01,53,53
SAN BORJA,atencion de partos en servicios,cesareas,2016-01-01,26,26
SAN IGNACIO,atencion de partos en servicios,cesareas,2016-01-01,8,8
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2016-01-01,39,39
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2016-01-01,1,1
SAN JOAQUIN,atencion de partos en servicios,cesareas,2016-01-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2016-01-01,21,21
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2016-01-01,3,3
SAN JULIAN,atencion de partos en servicios,cesareas,2016-01-01,7,7
SAN LUCAS,atencion de partos en servicios,cesareas,2016-01-01,3,3
SAN RAMON BENI,atencion de partos en servicios,cesareas,2016-01-01,1,1
SANTA ANA,atencion de partos en servicios,cesareas,2016-01-01,15,15
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2016-01-01,2532,2532
SANTA ROSA,atencion de partos en servicios,cesareas,2016-01-01,2,2
SHINAOTA,atencion de partos en servicios,cesareas,2016-01-01,5,5
SOPACHUY,atencion de partos en servicios,cesareas,2016-01-01,3,3
SUCRE,atencion de partos en servicios,cesareas,2016-01-01,259,259
TARABUCO,atencion de partos en servicios,cesareas,2016-01-01,6,6
TARIJA,atencion de partos en servicios,cesareas,2016-01-01,254,254
TARVITA,atencion de partos en servicios,cesareas,2016-01-01,1,1
TIQUIPAYA,atencion de partos en servicios,cesareas,2016-01-01,31,31
TOTORA(CBBA),atencion de partos en servicios,cesareas,2016-01-01,6,6
TRINIDAD,atencion de partos en servicios,cesareas,2016-01-01,136,136
TUPIZA,atencion de partos en servicios,cesareas,2016-01-01,23,23
UNCIA,atencion de partos en servicios,cesareas,2016-01-01,8,8
UYUNI,atencion de partos en servicios,cesareas,2016-01-01,13,13
VALLEGRANDE,atencion de partos en servicios,cesareas,2016-01-01,26,26
VILLA MONTES,atencion de partos en servicios,cesareas,2016-01-01,44,44
VILLA TUNARI,atencion de partos en servicios,cesareas,2016-01-01,19,19
VILLAZON,atencion de partos en servicios,cesareas,2016-01-01,5,5
VINTO,atencion de partos en servicios,cesareas,2016-01-01,8,8
WARNES,atencion de partos en servicios,cesareas,2016-01-01,26,26
YACUIBA,atencion de partos en servicios,cesareas,2016-01-01,119,119
YAPACANI,atencion de partos en servicios,cesareas,2016-01-01,40,40
YOTALA,atencion de partos en servicios,cesareas,2016-01-01,1,1
AIQUILE,atencion de partos en servicios,cesareas,2016-02-01,12,12
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2016-02-01,13,13
BAURES,atencion de partos en servicios,cesareas,2016-02-01,3,3
BERMEJO,atencion de partos en servicios,cesareas,2016-02-01,19,19
CAMARGO,atencion de partos en servicios,cesareas,2016-02-01,6,6
CAMIRI,atencion de partos en servicios,cesareas,2016-02-01,36,36
CARANAVI,atencion de partos en servicios,cesareas,2016-02-01,29,29
CHALLAPATA,atencion de partos en servicios,cesareas,2016-02-01,3,3
CHARAGUA,atencion de partos en servicios,cesareas,2016-02-01,11,11
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2016-02-01,3,3
CLIZA,atencion de partos en servicios,cesareas,2016-02-01,15,15
COBIJA,atencion de partos en servicios,cesareas,2016-02-01,50,50
COCHABAMBA,atencion de partos en servicios,cesareas,2016-02-01,762,762
COLCAPIRHUA,atencion de partos en servicios,cesareas,2016-02-01,7,7
COMARAPA,atencion de partos en servicios,cesareas,2016-02-01,10,10
COROICO,atencion de partos en servicios,cesareas,2016-02-01,2,2
COTOCA,atencion de partos en servicios,cesareas,2016-02-01,4,4
CULPINA,atencion de partos en servicios,cesareas,2016-02-01,4,4
