municipality,group,variable,month,Nacidos muertos,TOTAL
BERMEJO,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2016-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2016-01-01,17,17
COLOMI,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
COMARAPA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
CULPINA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2016-01-01,9,9
ESCOMA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
GUANAY,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2016-01-01,5,5
LA PAZ,atencion de partos en servicios,nacidos muertos,2016-01-01,22,22
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2016-01-01,5,5
ORURO,atencion de partos en servicios,nacidos muertos,2016-01-01,13,13
PADCAYA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
PADILLA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
PAILON,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos,2016-01-01,4,4
POSTRER VALLE,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2016-01-01,5,5
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
PUNA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2016-01-01,7,7
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2016-01-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos,2016-01-01,3,3
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2016-01-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2016-01-01,1,1
