municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,5,5
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,32,32
ACHOCALLA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,4,4
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,30,30
ALCALA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,5,5
ANDAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,1,1
ANTEQUERA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,1,1
ANZALDO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,3,3
APOLO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,12,12
ARANI,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,6,6
ARBIETO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,12,12
ARQUE,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,61,61
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,19,19
AZURDUY,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,6,6
BATALLAS,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,10,10
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,3,3
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,38,38
BETANZOS,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,24,24
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,3,3
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,5,5
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,20,20
CAIROMA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,2,2
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,7,7
CAJUATA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,1,1
CALACOTO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,1,1
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,14,14
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,21,21
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,18,18
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,13,13
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,77,77
CARAPARI,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,11,11
CARIPUYO,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,8,8
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,4,4
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,39,39
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,7,7
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,33,33
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,3,3
CHIMORE,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,36,36
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,5,5
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,2,2
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,23,23
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,123,123
COCAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,9,9
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,1727,1727
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,27,27
COLOMI,atencion de partos en servicios,rn con alojamiento conjunto,2016-01-01,19,19
