municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
EL TORNO,atencion de partos en servicios,partos atendidos por partera en servicio,2016-02-01,6.0,6.0
MOJINETE,atencion de partos en servicios,partos atendidos por partera en servicio,2016-02-01,1.0,1.0
LORETO,atencion de partos en servicios,partos atendidos por partera en servicio,2016-03-01,1.0,1.0
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,partos atendidos por partera en servicio,2016-03-01,1.0,1.0
CHIMORE,atencion de partos en servicios,partos atendidos por partera en servicio,2016-04-01,1.0,1.0
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2016-04-01,3.0,3.0
YAPACANI,atencion de partos en servicios,partos atendidos por partera en servicio,2016-04-01,1.0,1.0
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2016-05-01,4.0,4.0
ORURO,atencion de partos en servicios,partos atendidos por partera en servicio,2016-05-01,2.0,2.0
RURRENABAQUE,atencion de partos en servicios,partos atendidos por partera en servicio,2016-05-01,1.0,1.0
SAN LUCAS,atencion de partos en servicios,partos atendidos por partera en servicio,2016-05-01,1.0,1.0
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2016-06-01,2.0,2.0
SACACA,atencion de partos en servicios,partos atendidos por partera en servicio,2016-06-01,1.0,1.0
SAN MATIAS,atencion de partos en servicios,partos atendidos por partera en servicio,2016-07-01,5.0,5.0
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2016-08-01,1.0,1.0
LAGUNILLAS,atencion de partos en servicios,partos atendidos por partera en servicio,2016-08-01,4.0,4.0
CAMIRI,atencion de partos en servicios,partos atendidos por partera en servicio,2016-09-01,38.0,38.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2016-09-01,57.0,57.0
VILLA MONTES,atencion de partos en servicios,partos atendidos por partera en servicio,2016-09-01,67.0,67.0
CAMIRI,atencion de partos en servicios,partos atendidos por partera en servicio,2016-10-01,37.0,37.0
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2016-10-01,1.0,1.0
URIONDO (A. CONCEPCION),atencion de partos en servicios,partos atendidos por partera en servicio,2016-10-01,1.0,1.0
VALLEGRANDE,atencion de partos en servicios,partos atendidos por partera en servicio,2016-10-01,31.0,31.0
ATOCHA,atencion de partos en servicios,partos atendidos por partera en servicio,2016-11-01,2.0,2.0
SAN LORENZO(PND),atencion de partos en servicios,partos atendidos por partera en servicio,2016-11-01,1.0,1.0
YOTALA,atencion de partos en servicios,partos atendidos por partera en servicio,2016-11-01,8.0,8.0
CAMIRI,atencion de partos en servicios,partos atendidos por partera en servicio,2016-12-01,27.0,27.0
