municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicios,vaginales,2016-01-01,5,5
ACHACACHI,atencion de partos en servicios,vaginales,2016-01-01,32,32
ACHOCALLA,atencion de partos en servicios,vaginales,2016-01-01,4,4
AIQUILE,atencion de partos en servicios,vaginales,2016-01-01,17,17
ALCALA,atencion de partos en servicios,vaginales,2016-01-01,5,5
ALTO BENI,atencion de partos en servicios,vaginales,2016-01-01,7,7
ANCORAIMES,atencion de partos en servicios,vaginales,2016-01-01,4,4
ANDAMARCA,atencion de partos en servicios,vaginales,2016-01-01,1,1
ANTEQUERA,atencion de partos en servicios,vaginales,2016-01-01,1,1
ANZALDO,atencion de partos en servicios,vaginales,2016-01-01,3,3
APOLO,atencion de partos en servicios,vaginales,2016-01-01,12,12
ARANI,atencion de partos en servicios,vaginales,2016-01-01,6,6
ARBIETO,atencion de partos en servicios,vaginales,2016-01-01,12,12
ARQUE,atencion de partos en servicios,vaginales,2016-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2016-01-01,34,34
ATOCHA,atencion de partos en servicios,vaginales,2016-01-01,8,8
AYATA,atencion de partos en servicios,vaginales,2016-01-01,1,1
AYO AYO,atencion de partos en servicios,vaginales,2016-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2016-01-01,19,19
AZURDUY,atencion de partos en servicios,vaginales,2016-01-01,7,7
BATALLAS,atencion de partos en servicios,vaginales,2016-01-01,10,10
BAURES,atencion de partos en servicios,vaginales,2016-01-01,3,3
BELLA FLOR,atencion de partos en servicios,vaginales,2016-01-01,1,1
BERMEJO,atencion de partos en servicios,vaginales,2016-01-01,29,29
BETANZOS,atencion de partos en servicios,vaginales,2016-01-01,28,28
BOLIVAR,atencion de partos en servicios,vaginales,2016-01-01,1,1
BOYUIBE,atencion de partos en servicios,vaginales,2016-01-01,3,3
BUENA VISTA,atencion de partos en servicios,vaginales,2016-01-01,5,5
CABEZAS,atencion de partos en servicios,vaginales,2016-01-01,19,19
CAIROMA,atencion de partos en servicios,vaginales,2016-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,vaginales,2016-01-01,7,7
CAJUATA,atencion de partos en servicios,vaginales,2016-01-01,9,9
