,group,variable,month,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA A. < 15,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA B. 15 A 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA C. 20 - 34,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA D. 35 - 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR MALFORMACIÓN CONGENITA INCOMPATIBLE CON LA VIDA E. 50 Y MAS,TOTALES
,,,,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida1,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida2,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida3,Interrupciones Legales del Embarazo por Malformación Congenita incompatible con la vida4,TOTAL
municipality,,,,,,,,,
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-01-01,0.0,0.0,10.0,4.0,0.0,14.0
PADILLA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-02-01,0.0,0.0,1.0,0.0,0.0,1.0
RIBERALTA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-02-01,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-02-01,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-02-01,0.0,0.0,1.0,0.0,0.0,1.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-03-01,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-03-01,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-03-01,0.0,0.0,1.0,0.0,0.0,1.0
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-04-01,0.0,0.0,1.0,0.0,0.0,1.0
RIBERALTA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-04-01,0.0,1.0,0.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-04-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-05-01,0.0,0.0,1.0,0.0,0.0,1.0
CARANAVI,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-06-01,0.0,1.0,0.0,0.0,0.0,1.0
COBIJA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-06-01,0.0,0.0,1.0,0.0,0.0,1.0
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-06-01,0.0,0.0,1.0,0.0,0.0,1.0
GUAYARAMERIN,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-06-01,0.0,1.0,0.0,0.0,0.0,1.0
SACABA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-06-01,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-06-01,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-06-01,0.0,0.0,2.0,0.0,0.0,2.0
COCHABAMBA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-07-01,0.0,0.0,1.0,0.0,0.0,1.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-07-01,0.0,0.0,1.0,0.0,0.0,1.0
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-08-01,0.0,0.0,1.0,0.0,0.0,1.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-08-01,0.0,0.0,1.0,0.0,0.0,1.0
TRINIDAD,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-08-01,1.0,0.0,0.0,0.0,0.0,1.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-09-01,0.0,0.0,0.0,1.0,0.0,1.0
QUILLACOLLO,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-09-01,0.0,0.0,0.0,1.0,0.0,1.0
PADILLA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-11-01,0.0,0.0,1.0,0.0,0.0,1.0
TARIJA,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-11-01,0.0,0.0,1.0,0.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por malformacion congenita incompatible con la vida,2023-12-01,0.0,0.0,0.0,1.0,0.0,1.0
