,group,variable,month,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL A. < 15,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL B. 15 A 19,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL C. 20 - 34,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL D. 35 - 49,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL E. 50 Y MAS,TOTALES
,,,,N° de Interrupciones Legales del Embarazo por Violencia Sexual,N° de Interrupciones Legales del Embarazo por Violencia Sexual1,N° de Interrupciones Legales del Embarazo por Violencia Sexual2,N° de Interrupciones Legales del Embarazo por Violencia Sexual3,N° de Interrupciones Legales del Embarazo por Violencia Sexual4,TOTAL
municipality,,,,,,,,,
CAMARGO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,1,0,0,0,0,1
CHALLAPATA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,0,0,1,0,0,1
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,0,1,2,0,0,3
ORURO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,0,0,2,0,0,2
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,0,0,1,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,0,1,0,0,0,1
TARIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,0,0,1,0,0,1
TRINIDAD,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-01-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-02-01,2,0,0,0,0,2
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-02-01,0,0,1,0,0,1
RURRENABAQUE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-02-01,1,1,0,0,0,2
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-02-01,2,2,0,0,0,4
TARABUCO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-02-01,0,1,0,0,0,1
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-03-01,0,1,0,0,0,1
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-03-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-03-01,0,2,1,0,0,3
PADILLA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-03-01,1,0,0,0,0,1
PUERTO RICO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-03-01,0,0,1,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-03-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-03-01,3,0,0,0,0,3
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-04-01,1,0,0,0,0,1
