municipality,group,variable,month,Egresos,TOTAL
ACACIO,internaciones,egresos,2007-01-01,5,5
ACHACACHI,internaciones,egresos,2007-01-01,106,106
ACHOCALLA,internaciones,egresos,2007-01-01,6,6
AIQUILE,internaciones,egresos,2007-01-01,131,131
ALALAY,internaciones,egresos,2007-01-01,3,3
ALCALA,internaciones,egresos,2007-01-01,11,11
ANCORAIMES,internaciones,egresos,2007-01-01,7,7
ANDAMARCA,internaciones,egresos,2007-01-01,1,1
ANZALDO,internaciones,egresos,2007-01-01,1,1
APOLO,internaciones,egresos,2007-01-01,33,33
ARANI,internaciones,egresos,2007-01-01,6,6
ARBIETO,internaciones,egresos,2007-01-01,4,4
ARQUE,internaciones,egresos,2007-01-01,6,6
ASCENCION DE GUARAYOS,internaciones,egresos,2007-01-01,191,191
ATOCHA,internaciones,egresos,2007-01-01,112,112
AYO AYO,internaciones,egresos,2007-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2007-01-01,56,56
AZURDUY,internaciones,egresos,2007-01-01,2,2
BATALLAS,internaciones,egresos,2007-01-01,24,24
BAURES,internaciones,egresos,2007-01-01,18,18
BERMEJO,internaciones,egresos,2007-01-01,194,194
BETANZOS,internaciones,egresos,2007-01-01,28,28
BOLIVAR,internaciones,egresos,2007-01-01,1,1
BOYUIBE,internaciones,egresos,2007-01-01,37,37
BUENA VISTA,internaciones,egresos,2007-01-01,43,43
CABEZAS,internaciones,egresos,2007-01-01,49,49
CAIROMA,internaciones,egresos,2007-01-01,6,6
"CAIZA ""D""",internaciones,egresos,2007-01-01,2,2
CAJUATA,internaciones,egresos,2007-01-01,3,3
CALAMARCA,internaciones,egresos,2007-01-01,6,6
CAMARGO,internaciones,egresos,2007-01-01,136,136
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2007-01-01,11,11
CAMIRI,internaciones,egresos,2007-01-01,527,527
CAPINOTA,internaciones,egresos,2007-01-01,57,57
CARACOLLO,internaciones,egresos,2007-01-01,36,36
CARANAVI,internaciones,egresos,2007-01-01,180,180
CARMEN RIVERO TORREZ,internaciones,egresos,2007-01-01,12,12
CHALLAPATA,internaciones,egresos,2007-01-01,91,91
CHAQUI,internaciones,egresos,2007-01-01,2,2
CHARAGUA,internaciones,egresos,2007-01-01,112,112
CHARAÑA,internaciones,egresos,2007-01-01,4,4
CHAYANTA,internaciones,egresos,2007-01-01,24,24
CHIMORE,internaciones,egresos,2007-01-01,15,15
CHIPAYA,internaciones,egresos,2007-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2007-01-01,95,95
CHUMA,internaciones,egresos,2007-01-01,9,9
CLIZA,internaciones,egresos,2007-01-01,21,21
COBIJA,internaciones,egresos,2007-01-01,535,535
COCHABAMBA,internaciones,egresos,2007-01-01,6344,6344
COLCAPIRHUA,internaciones,egresos,2007-01-01,14,14
"COLCHA ""K""",internaciones,egresos,2007-01-01,4,4
COLLANA,internaciones,egresos,2007-01-01,2,2
COLOMI,internaciones,egresos,2007-01-01,37,37
COLPA BELGICA,internaciones,egresos,2007-01-01,15,15
COLQUENCHA,internaciones,egresos,2007-01-01,1,1
COLQUIRI,internaciones,egresos,2007-01-01,10,10
COMARAPA,internaciones,egresos,2007-01-01,116,116
CONCEPCION,internaciones,egresos,2007-01-01,81,81
COPACABANA,internaciones,egresos,2007-01-01,25,25
CORIPATA,internaciones,egresos,2007-01-01,10,10
CORO CORO,internaciones,egresos,2007-01-01,5,5
COROICO,internaciones,egresos,2007-01-01,63,63
COTAGAITA,internaciones,egresos,2007-01-01,41,41
COTOCA,internaciones,egresos,2007-01-01,168,168
CUATRO CAÑADAS,internaciones,egresos,2007-01-01,30,30
CUEVO,internaciones,egresos,2007-01-01,5,5
CULPINA,internaciones,egresos,2007-01-01,42,42
CURAHUARA DE CARANGAS,internaciones,egresos,2007-01-01,5,5
DESAGUADERO,internaciones,egresos,2007-01-01,9,9
EL ALTO,internaciones,egresos,2007-01-01,2623,2623
EL PUENTE(STC),internaciones,egresos,2007-01-01,16,16
EL PUENTE(TJA),internaciones,egresos,2007-01-01,1,1
EL TORNO,internaciones,egresos,2007-01-01,170,170
EL VILLAR,internaciones,egresos,2007-01-01,12,12
ENTRE RIOS,internaciones,egresos,2007-01-01,40,40
ENTRE RIOS,internaciones,egresos,2007-01-01,25,25
EUCALIPTUS,internaciones,egresos,2007-01-01,16,16
EXALTACION,internaciones,egresos,2007-01-01,4,4
FERNANDEZ ALONSO,internaciones,egresos,2007-01-01,19,19
FILADELFIA,internaciones,egresos,2007-01-01,8,8
GENERAL SAAVEDRA,internaciones,egresos,2007-01-01,22,22
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2007-01-01,2,2
GUANAY,internaciones,egresos,2007-01-01,26,26
GUAQUI,internaciones,egresos,2007-01-01,4,4
GUAYARAMERIN,internaciones,egresos,2007-01-01,534,534
GUTIERREZ,internaciones,egresos,2007-01-01,35,35
HUACARETA,internaciones,egresos,2007-01-01,28,28
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2007-01-01,2,2
HUACHACALLA,internaciones,egresos,2007-01-01,8,8
HUANUNI,internaciones,egresos,2007-01-01,89,89
HUARACAJE,internaciones,egresos,2007-01-01,4,4
HUAYLLAMARCA,internaciones,egresos,2007-01-01,5,5
ICHOCA,internaciones,egresos,2007-01-01,5,5
ICLA,internaciones,egresos,2007-01-01,7,7
INCAHUASI,internaciones,egresos,2007-01-01,14,14
INQUISIVI,internaciones,egresos,2007-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones,egresos,2007-01-01,32,32
IXIAMAS,internaciones,egresos,2007-01-01,18,18
JESUS DE MACHACA,internaciones,egresos,2007-01-01,13,13
LA ASUNTA,internaciones,egresos,2007-01-01,68,68
LA GUARDIA,internaciones,egresos,2007-01-01,219,219
LA PAZ,internaciones,egresos,2007-01-01,6175,6175
LAGUNILLAS,internaciones,egresos,2007-01-01,14,14
LAJA,internaciones,egresos,2007-01-01,6,6
LICOMA PAMPA,internaciones,egresos,2007-01-01,5,5
LLALLAGUA,internaciones,egresos,2007-01-01,234,234
LLICA,internaciones,egresos,2007-01-01,1,1
LURIBAY,internaciones,egresos,2007-01-01,8,8
MACHACAMARCA,internaciones,egresos,2007-01-01,2,2
