municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACACIO,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
ACHACACHI,internaciones,dias camas ocupadas otros servicios,2007-01-01,39,39
AIQUILE,internaciones,dias camas ocupadas otros servicios,2007-01-01,245,245
ALALAY,internaciones,dias camas ocupadas otros servicios,2007-01-01,5,5
ALCALA,internaciones,dias camas ocupadas otros servicios,2007-01-01,7,7
ANCORAIMES,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
ANZALDO,internaciones,dias camas ocupadas otros servicios,2007-01-01,60,60
APOLO,internaciones,dias camas ocupadas otros servicios,2007-01-01,30,30
ARANI,internaciones,dias camas ocupadas otros servicios,2007-01-01,4,4
ARBIETO,internaciones,dias camas ocupadas otros servicios,2007-01-01,7,7
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas otros servicios,2007-01-01,495,495
ATOCHA,internaciones,dias camas ocupadas otros servicios,2007-01-01,358,358
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas otros servicios,2007-01-01,85,85
AZURDUY,internaciones,dias camas ocupadas otros servicios,2007-01-01,6,6
BATALLAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,16,16
BAURES,internaciones,dias camas ocupadas otros servicios,2007-01-01,36,36
BERMEJO,internaciones,dias camas ocupadas otros servicios,2007-01-01,426,426
BETANZOS,internaciones,dias camas ocupadas otros servicios,2007-01-01,17,17
BOLIVAR,internaciones,dias camas ocupadas otros servicios,2007-01-01,5,5
BOYUIBE,internaciones,dias camas ocupadas otros servicios,2007-01-01,159,159
BUENA VISTA,internaciones,dias camas ocupadas otros servicios,2007-01-01,121,121
CABEZAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,43,43
CAIROMA,internaciones,dias camas ocupadas otros servicios,2007-01-01,3,3
CAMARGO,internaciones,dias camas ocupadas otros servicios,2007-01-01,150,150
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas otros servicios,2007-01-01,11,11
CAMIRI,internaciones,dias camas ocupadas otros servicios,2007-01-01,1296,1296
CAPINOTA,internaciones,dias camas ocupadas otros servicios,2007-01-01,64,64
CARACOLLO,internaciones,dias camas ocupadas otros servicios,2007-01-01,41,41
CARANAVI,internaciones,dias camas ocupadas otros servicios,2007-01-01,304,304
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas otros servicios,2007-01-01,12,12
CHALLAPATA,internaciones,dias camas ocupadas otros servicios,2007-01-01,104,104
CHARAGUA,internaciones,dias camas ocupadas otros servicios,2007-01-01,186,186
CHAYANTA,internaciones,dias camas ocupadas otros servicios,2007-01-01,25,25
CHIMORE,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas otros servicios,2007-01-01,158,158
CLIZA,internaciones,dias camas ocupadas otros servicios,2007-01-01,4,4
COBIJA,internaciones,dias camas ocupadas otros servicios,2007-01-01,1371,1371
COCHABAMBA,internaciones,dias camas ocupadas otros servicios,2007-01-01,26941,26941
"COLCHA ""K""",internaciones,dias camas ocupadas otros servicios,2007-01-01,8,8
COLOMI,internaciones,dias camas ocupadas otros servicios,2007-01-01,7,7
COLPA BELGICA,internaciones,dias camas ocupadas otros servicios,2007-01-01,36,36
COLQUIRI,internaciones,dias camas ocupadas otros servicios,2007-01-01,7,7
COMARAPA,internaciones,dias camas ocupadas otros servicios,2007-01-01,370,370
CONCEPCION,internaciones,dias camas ocupadas otros servicios,2007-01-01,188,188
COPACABANA,internaciones,dias camas ocupadas otros servicios,2007-01-01,21,21
CORIPATA,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
CORO CORO,internaciones,dias camas ocupadas otros servicios,2007-01-01,4,4
COROICO,internaciones,dias camas ocupadas otros servicios,2007-01-01,318,318
COTAGAITA,internaciones,dias camas ocupadas otros servicios,2007-01-01,115,115
COTOCA,internaciones,dias camas ocupadas otros servicios,2007-01-01,318,318
CUATRO CAÑADAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,20,20
CUEVO,internaciones,dias camas ocupadas otros servicios,2007-01-01,60,60
CULPINA,internaciones,dias camas ocupadas otros servicios,2007-01-01,71,71
CURAHUARA DE CARANGAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,8,8
EL ALTO,internaciones,dias camas ocupadas otros servicios,2007-01-01,5765,5765
EL PUENTE(STC),internaciones,dias camas ocupadas otros servicios,2007-01-01,14,14
EL TORNO,internaciones,dias camas ocupadas otros servicios,2007-01-01,836,836
EL VILLAR,internaciones,dias camas ocupadas otros servicios,2007-01-01,13,13
ENTRE RIOS,internaciones,dias camas ocupadas otros servicios,2007-01-01,5,5
ENTRE RIOS,internaciones,dias camas ocupadas otros servicios,2007-01-01,58,58
EUCALIPTUS,internaciones,dias camas ocupadas otros servicios,2007-01-01,11,11
EXALTACION,internaciones,dias camas ocupadas otros servicios,2007-01-01,3,3
