municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
ACHACACHI,internaciones,dias camas disponibles maternidad,2007-01-01,287,287
ACHOCALLA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
AIQUILE,internaciones,dias camas disponibles maternidad,2007-01-01,1144,1144
ALALAY,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
ALCALA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
ANCORAIMES,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
ANDAMARCA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
ANZALDO,internaciones,dias camas disponibles maternidad,2007-01-01,58,58
APOLO,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
ARANI,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
ARBIETO,internaciones,dias camas disponibles maternidad,2007-01-01,90,90
ARQUE,internaciones,dias camas disponibles maternidad,2007-01-01,186,186
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles maternidad,2007-01-01,279,279
ATOCHA,internaciones,dias camas disponibles maternidad,2007-01-01,310,310
AYO AYO,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles maternidad,2007-01-01,589,589
AZURDUY,internaciones,dias camas disponibles maternidad,2007-01-01,186,186
BATALLAS,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
BAURES,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
BERMEJO,internaciones,dias camas disponibles maternidad,2007-01-01,434,434
BETANZOS,internaciones,dias camas disponibles maternidad,2007-01-01,372,372
BOLIVAR,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
BOYUIBE,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
BUENA VISTA,internaciones,dias camas disponibles maternidad,2007-01-01,371,371
CABEZAS,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
CAIROMA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
"CAIZA ""D""",internaciones,dias camas disponibles maternidad,2007-01-01,248,248
CAJUATA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
CALAMARCA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
CAMARGO,internaciones,dias camas disponibles maternidad,2007-01-01,186,186
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles maternidad,2007-01-01,93,93
CAMIRI,internaciones,dias camas disponibles maternidad,2007-01-01,806,806
CAPINOTA,internaciones,dias camas disponibles maternidad,2007-01-01,310,310
CARACOLLO,internaciones,dias camas disponibles maternidad,2007-01-01,179,179
CARANAVI,internaciones,dias camas disponibles maternidad,2007-01-01,341,341
