municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,2,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
CARACOLLO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,4,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,98,98
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,9,9
FERNANDEZ ALONSO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
HUACARETA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,6,6
ICLA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,6,6
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-01-01,117,117
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,2,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
MOROCHATA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,22,22
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-01-01,26,26
PUNATA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,3,3
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,4,4
ROBORE,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,3,3
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2007-01-01,2,2
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,119,119
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-01-01,15,15
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,35,35
TIRAQUE (CBBA),internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
TRIGAL,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-01-01,15,15
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,11,11
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2007-01-01,4,4
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2007-01-01,3,3
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2007-01-01,6,6
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2007-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2007-02-01,3,3
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,102,102
COTAGAITA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-02-01,12,12
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-02-01,114,114
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
MAIRANA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2007-02-01,5,5
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-02-01,27,27
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-02-01,18,18
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,4,4
ROBORE,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
SAN LUCAS,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,90,90
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-02-01,24,24
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,23,23
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-02-01,11,11
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
UNCIA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
UYUNI,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2007-02-01,2,2
WARNES,internaciones,fallecidos a partir de las 48 horas,2007-02-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2007-02-01,4,4
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,3,3
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,2,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2007-03-01,2,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2007-03-01,3,3
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,3,3
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,3,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,86,86
CONCEPCION,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,10,10
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
EL VILLAR,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-03-01,162,162
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
MIZQUE,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,4,4
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,24,24
PALOS BLANCOS,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,2,2
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-03-01,27,27
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2007-03-01,3,3
PUNATA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,5,5
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2007-03-01,2,2
SAN RAFAEL,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,113,113
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-03-01,37,37
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,34,34
TIRAQUE (CBBA),internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-03-01,7,7
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,7,7
UNCIA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2007-03-01,2,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
WARNES,internaciones,fallecidos a partir de las 48 horas,2007-03-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2007-03-01,4,4
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2007-04-01,2,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
CHALLAPATA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,6,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,98,98
COROICO,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-04-01,5,5
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
