municipality,group,variable,month,Ingresos espontáneos,TOTAL
ACACIO,internaciones,ingresos espontaneos,2007-01-01,5,5
ACHACACHI,internaciones,ingresos espontaneos,2007-01-01,106,106
ACHOCALLA,internaciones,ingresos espontaneos,2007-01-01,6,6
AIQUILE,internaciones,ingresos espontaneos,2007-01-01,129,129
ALALAY,internaciones,ingresos espontaneos,2007-01-01,3,3
ALCALA,internaciones,ingresos espontaneos,2007-01-01,11,11
ANCORAIMES,internaciones,ingresos espontaneos,2007-01-01,7,7
ANDAMARCA,internaciones,ingresos espontaneos,2007-01-01,1,1
ANZALDO,internaciones,ingresos espontaneos,2007-01-01,1,1
APOLO,internaciones,ingresos espontaneos,2007-01-01,32,32
ARANI,internaciones,ingresos espontaneos,2007-01-01,6,6
ARBIETO,internaciones,ingresos espontaneos,2007-01-01,4,4
ARQUE,internaciones,ingresos espontaneos,2007-01-01,6,6
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2007-01-01,213,213
ATOCHA,internaciones,ingresos espontaneos,2007-01-01,104,104
AYO AYO,internaciones,ingresos espontaneos,2007-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2007-01-01,52,52
AZURDUY,internaciones,ingresos espontaneos,2007-01-01,2,2
BATALLAS,internaciones,ingresos espontaneos,2007-01-01,24,24
BAURES,internaciones,ingresos espontaneos,2007-01-01,19,19
BERMEJO,internaciones,ingresos espontaneos,2007-01-01,196,196
BETANZOS,internaciones,ingresos espontaneos,2007-01-01,24,24
BOLIVAR,internaciones,ingresos espontaneos,2007-01-01,1,1
BOYUIBE,internaciones,ingresos espontaneos,2007-01-01,36,36
BUENA VISTA,internaciones,ingresos espontaneos,2007-01-01,44,44
CABEZAS,internaciones,ingresos espontaneos,2007-01-01,49,49
CAIROMA,internaciones,ingresos espontaneos,2007-01-01,6,6
CAJUATA,internaciones,ingresos espontaneos,2007-01-01,3,3
CALAMARCA,internaciones,ingresos espontaneos,2007-01-01,6,6
CAMARGO,internaciones,ingresos espontaneos,2007-01-01,156,156
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2007-01-01,11,11
CAMIRI,internaciones,ingresos espontaneos,2007-01-01,516,516
CAPINOTA,internaciones,ingresos espontaneos,2007-01-01,57,57
CARACOLLO,internaciones,ingresos espontaneos,2007-01-01,38,38
CARANAVI,internaciones,ingresos espontaneos,2007-01-01,170,170
CARAPARI,internaciones,ingresos espontaneos,2007-01-01,1,1
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2007-01-01,12,12
CHALLAPATA,internaciones,ingresos espontaneos,2007-01-01,89,89
CHAQUI,internaciones,ingresos espontaneos,2007-01-01,2,2
CHARAGUA,internaciones,ingresos espontaneos,2007-01-01,99,99
CHARAÑA,internaciones,ingresos espontaneos,2007-01-01,4,4
CHAYANTA,internaciones,ingresos espontaneos,2007-01-01,23,23
CHIMORE,internaciones,ingresos espontaneos,2007-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2007-01-01,98,98
CHUMA,internaciones,ingresos espontaneos,2007-01-01,10,10
CLIZA,internaciones,ingresos espontaneos,2007-01-01,21,21
COBIJA,internaciones,ingresos espontaneos,2007-01-01,364,364
COCHABAMBA,internaciones,ingresos espontaneos,2007-01-01,6505,6505
COLCAPIRHUA,internaciones,ingresos espontaneos,2007-01-01,14,14
"COLCHA ""K""",internaciones,ingresos espontaneos,2007-01-01,4,4
COLLANA,internaciones,ingresos espontaneos,2007-01-01,2,2
COLOMI,internaciones,ingresos espontaneos,2007-01-01,34,34
COLPA BELGICA,internaciones,ingresos espontaneos,2007-01-01,15,15
COLQUENCHA,internaciones,ingresos espontaneos,2007-01-01,1,1
COLQUIRI,internaciones,ingresos espontaneos,2007-01-01,10,10
COMARAPA,internaciones,ingresos espontaneos,2007-01-01,118,118
CONCEPCION,internaciones,ingresos espontaneos,2007-01-01,83,83
COPACABANA,internaciones,ingresos espontaneos,2007-01-01,25,25
CORIPATA,internaciones,ingresos espontaneos,2007-01-01,10,10
CORO CORO,internaciones,ingresos espontaneos,2007-01-01,4,4
COROICO,internaciones,ingresos espontaneos,2007-01-01,70,70
COTAGAITA,internaciones,ingresos espontaneos,2007-01-01,39,39
COTOCA,internaciones,ingresos espontaneos,2007-01-01,168,168
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2007-01-01,30,30
CUEVO,internaciones,ingresos espontaneos,2007-01-01,6,6
CULPINA,internaciones,ingresos espontaneos,2007-01-01,39,39
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2007-01-01,5,5
DESAGUADERO,internaciones,ingresos espontaneos,2007-01-01,9,9
EL ALTO,internaciones,ingresos espontaneos,2007-01-01,2334,2334
EL PUENTE(STC),internaciones,ingresos espontaneos,2007-01-01,16,16
EL PUENTE(TJA),internaciones,ingresos espontaneos,2007-01-01,1,1
EL TORNO,internaciones,ingresos espontaneos,2007-01-01,172,172
EL VILLAR,internaciones,ingresos espontaneos,2007-01-01,12,12
ENTRE RIOS,internaciones,ingresos espontaneos,2007-01-01,41,41
ENTRE RIOS,internaciones,ingresos espontaneos,2007-01-01,25,25
EUCALIPTUS,internaciones,ingresos espontaneos,2007-01-01,15,15
EXALTACION,internaciones,ingresos espontaneos,2007-01-01,4,4
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2007-01-01,19,19
FILADELFIA,internaciones,ingresos espontaneos,2007-01-01,9,9
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2007-01-01,23,23
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2007-01-01,2,2
GUANAY,internaciones,ingresos espontaneos,2007-01-01,24,24
GUAQUI,internaciones,ingresos espontaneos,2007-01-01,4,4
GUAYARAMERIN,internaciones,ingresos espontaneos,2007-01-01,535,535
GUTIERREZ,internaciones,ingresos espontaneos,2007-01-01,36,36
HUACARETA,internaciones,ingresos espontaneos,2007-01-01,28,28
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2007-01-01,2,2
HUACHACALLA,internaciones,ingresos espontaneos,2007-01-01,6,6
HUANUNI,internaciones,ingresos espontaneos,2007-01-01,89,89
HUARACAJE,internaciones,ingresos espontaneos,2007-01-01,6,6
HUAYLLAMARCA,internaciones,ingresos espontaneos,2007-01-01,5,5
ICHOCA,internaciones,ingresos espontaneos,2007-01-01,4,4
ICLA,internaciones,ingresos espontaneos,2007-01-01,5,5
INCAHUASI,internaciones,ingresos espontaneos,2007-01-01,14,14
INQUISIVI,internaciones,ingresos espontaneos,2007-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2007-01-01,32,32
IXIAMAS,internaciones,ingresos espontaneos,2007-01-01,18,18
JESUS DE MACHACA,internaciones,ingresos espontaneos,2007-01-01,13,13
LA ASUNTA,internaciones,ingresos espontaneos,2007-01-01,71,71
LA GUARDIA,internaciones,ingresos espontaneos,2007-01-01,213,213
LA PAZ,internaciones,ingresos espontaneos,2007-01-01,5780,5780
LAGUNILLAS,internaciones,ingresos espontaneos,2007-01-01,14,14
LAJA,internaciones,ingresos espontaneos,2007-01-01,6,6
LICOMA PAMPA,internaciones,ingresos espontaneos,2007-01-01,5,5
LLALLAGUA,internaciones,ingresos espontaneos,2007-01-01,234,234
LLICA,internaciones,ingresos espontaneos,2007-01-01,1,1
LURIBAY,internaciones,ingresos espontaneos,2007-01-01,9,9
MACHACAMARCA,internaciones,ingresos espontaneos,2007-01-01,2,2
MACHARETI,internaciones,ingresos espontaneos,2007-01-01,11,11
MAGDALENA,internaciones,ingresos espontaneos,2007-01-01,56,56
MAIRANA,internaciones,ingresos espontaneos,2007-01-01,45,45
MAPIRI,internaciones,ingresos espontaneos,2007-01-01,18,18
MECAPACA,internaciones,ingresos espontaneos,2007-01-01,8,8
MINEROS,internaciones,ingresos espontaneos,2007-01-01,27,27
MIZQUE,internaciones,ingresos espontaneos,2007-01-01,51,51
MOJOCOYA,internaciones,ingresos espontaneos,2007-01-01,8,8
MONTEAGUDO,internaciones,ingresos espontaneos,2007-01-01,138,138
MONTERO,internaciones,ingresos espontaneos,2007-01-01,557,557
MORO MORO,internaciones,ingresos espontaneos,2007-01-01,2,2
MOROCHATA,internaciones,ingresos espontaneos,2007-01-01,8,8
OCURI,internaciones,ingresos espontaneos,2007-01-01,12,12
OMEREQUE,internaciones,ingresos espontaneos,2007-01-01,5,5
ORURO,internaciones,ingresos espontaneos,2007-01-01,2193,2193
PADILLA,internaciones,ingresos espontaneos,2007-01-01,65,65
PAILON,internaciones,ingresos espontaneos,2007-01-01,40,40
PALCA,internaciones,ingresos espontaneos,2007-01-01,1,1
PALOS BLANCOS,internaciones,ingresos espontaneos,2007-01-01,58,58
PAMPA GRANDE,internaciones,ingresos espontaneos,2007-01-01,5,5
PAPEL PAMPA,internaciones,ingresos espontaneos,2007-01-01,2,2
PATACAMAYA,internaciones,ingresos espontaneos,2007-01-01,31,31
PAZÑA,internaciones,ingresos espontaneos,2007-01-01,1,1
PELECHUCO,internaciones,ingresos espontaneos,2007-01-01,1,1
POCOATA,internaciones,ingresos espontaneos,2007-01-01,8,8
POCONA,internaciones,ingresos espontaneos,2007-01-01,12,12
POJO (CBBA),internaciones,ingresos espontaneos,2007-01-01,8,8
PORCO,internaciones,ingresos espontaneos,2007-01-01,8,8
