municipality,group,variable,month,Ingresos referidos de otros establecimientos,TOTAL
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2007-01-01,10,10
ALALAY,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
APOLO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,22,22
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2007-01-01,5,5
BERMEJO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,6,6
BOYUIBE,internaciones,ingresos referidos de otros establecimientos,2007-01-01,3,3
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,8,8
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,11,11
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,26,26
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,15,15
CHAYANTA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2007-01-01,8,8
COBIJA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,63,63
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,19,19
COLOMI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2007-01-01,4,4
CORO CORO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,6,6
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
COTOCA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,34,34
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,6,6
CURAHUARA DE CARANGAS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,212,212
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,6,6
EUCALIPTUS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2007-01-01,17,17
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,4,4
HUACHACALLA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
ICHOCA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
LA ASUNTA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,6,6
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1449,1449
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,22,22
MACHARETI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,5,5
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,13,13
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,11,11
MAPIRI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
MINEROS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecimientos,2007-01-01,3,3
MOJOCOYA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,22,22
MONTERO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,91,91
OCURI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
ORURO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,146,146
PADILLA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,28,28
PAILON,internaciones,ingresos referidos de otros establecimientos,2007-01-01,3,3
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
POJO (CBBA),internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,12,12
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,4,4
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2007-01-01,10,10
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2007-01-01,5,5
PUNATA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,44,44
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,28,28
REYES,internaciones,ingresos referidos de otros establecimientos,2007-01-01,4,4
