municipality,group,variable,month,Fallecidos antes de las 48 horas,TOTAL
APOLO,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
ATOCHA,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
BAURES,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
BOYUIBE,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
BUENA VISTA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
CAMIRI,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
CARACOLLO,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2007-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
CHUMA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2007-01-01,49,49
CORIPATA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
EL ALTO,internaciones,fallecidos antes de las 48 horas,2007-01-01,16,16
EL TORNO,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
ENTRE RIOS,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
HUACARETA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
LA PAZ,internaciones,fallecidos antes de las 48 horas,2007-01-01,89,89
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
MACHARETI,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
MINEROS,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
MIZQUE,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2007-01-01,5,5
MONTERO,internaciones,fallecidos antes de las 48 horas,2007-01-01,7,7
ORURO,internaciones,fallecidos antes de las 48 horas,2007-01-01,14,14
PAILON,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2007-01-01,13,13
PUERTO ACOSTA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2007-01-01,3,3
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2007-01-01,3,3
PUNATA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
REYES,internaciones,fallecidos antes de las 48 horas,2007-01-01,4,4
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2007-01-01,4,4
ROBORE,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
SACABA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2007-01-01,5,5
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2007-01-01,34,34
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2007-01-01,2,2
SOPACHUY,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2007-01-01,17,17
TARIJA,internaciones,fallecidos antes de las 48 horas,2007-01-01,13,13
TOTORA(CBBA),internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2007-01-01,11,11
TUPIZA,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2007-01-01,3,3
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2007-01-01,3,3
VILLAZON,internaciones,fallecidos antes de las 48 horas,2007-01-01,6,6
WARNES,internaciones,fallecidos antes de las 48 horas,2007-01-01,1,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2007-01-01,5,5
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2007-02-01,3,3
ATOCHA,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
AYATA,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
BATALLAS,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
BOYUIBE,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2007-02-01,5,5
CARANAVI,internaciones,fallecidos antes de las 48 horas,2007-02-01,5,5
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2007-02-01,4,4
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2007-02-01,36,36
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
COTAGAITA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
CUATRO CAÑADAS,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
EL ALTO,internaciones,fallecidos antes de las 48 horas,2007-02-01,14,14
EXALTACION,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
GUANAY,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2007-02-01,68,68
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2007-02-01,4,4
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2007-02-01,3,3
MONTERO,internaciones,fallecidos antes de las 48 horas,2007-02-01,104,104
ORURO,internaciones,fallecidos antes de las 48 horas,2007-02-01,15,15
PAMPA GRANDE,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
POROMA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2007-02-01,16,16
PUERTO ACOSTA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2007-02-01,4,4
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2007-02-01,9,9
ROBORE,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
SACACA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SAN ANDRES,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2007-02-01,4,4
SAN JOAQUIN,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SAN MATIAS,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SAN RAMON,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2007-02-01,28,28
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2007-02-01,16,16
TARIJA,internaciones,fallecidos antes de las 48 horas,2007-02-01,11,11
TIPUANI,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2007-02-01,10,10
TUPIZA,internaciones,fallecidos antes de las 48 horas,2007-02-01,5,5
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
VITICHI,internaciones,fallecidos antes de las 48 horas,2007-02-01,2,2
YACUIBA,internaciones,fallecidos antes de las 48 horas,2007-02-01,3,3
YAPACANI,internaciones,fallecidos antes de las 48 horas,2007-02-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
CAMIRI,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
CARACOLLO,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2007-03-01,8,8
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2007-03-01,4,4
CHUMA,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2007-03-01,54,54
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
COLQUIRI,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
CULPINA,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2007-03-01,13,13
EL PUENTE(TJA),internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
EL TORNO,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2007-03-01,80,80
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
MONTERO,internaciones,fallecidos antes de las 48 horas,2007-03-01,460,460
ORURO,internaciones,fallecidos antes de las 48 horas,2007-03-01,16,16
PADILLA,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
PAMPA GRANDE,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2007-03-01,17,17
PUERTO QUIJARRO,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
REYES,internaciones,fallecidos antes de las 48 horas,2007-03-01,3,3
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2007-03-01,7,7
ROBORE,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
SAN BENITO,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
SAN MATIAS,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2007-03-01,44,44
SORATA,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2007-03-01,22,22
TARABUCO,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
TARATA,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2007-03-01,10,10
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2007-03-01,3,3
TUPIZA,internaciones,fallecidos antes de las 48 horas,2007-03-01,2,2
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2007-03-01,1,1
