municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones,dias camas ocupadas maternidad,2007-01-01,6,6
ACHACACHI,internaciones,dias camas ocupadas maternidad,2007-01-01,40,40
ACHOCALLA,internaciones,dias camas ocupadas maternidad,2007-01-01,6,6
AIQUILE,internaciones,dias camas ocupadas maternidad,2007-01-01,123,123
ALCALA,internaciones,dias camas ocupadas maternidad,2007-01-01,19,19
ANCORAIMES,internaciones,dias camas ocupadas maternidad,2007-01-01,5,5
ANDAMARCA,internaciones,dias camas ocupadas maternidad,2007-01-01,2,2
ANZALDO,internaciones,dias camas ocupadas maternidad,2007-01-01,2,2
APOLO,internaciones,dias camas ocupadas maternidad,2007-01-01,59,59
ARANI,internaciones,dias camas ocupadas maternidad,2007-01-01,6,6
ARBIETO,internaciones,dias camas ocupadas maternidad,2007-01-01,2,2
ARQUE,internaciones,dias camas ocupadas maternidad,2007-01-01,8,8
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas maternidad,2007-01-01,87,87
ATOCHA,internaciones,dias camas ocupadas maternidad,2007-01-01,97,97
AYO AYO,internaciones,dias camas ocupadas maternidad,2007-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas maternidad,2007-01-01,53,53
AZURDUY,internaciones,dias camas ocupadas maternidad,2007-01-01,35,35
BATALLAS,internaciones,dias camas ocupadas maternidad,2007-01-01,16,16
BAURES,internaciones,dias camas ocupadas maternidad,2007-01-01,18,18
BERMEJO,internaciones,dias camas ocupadas maternidad,2007-01-01,93,93
BETANZOS,internaciones,dias camas ocupadas maternidad,2007-01-01,41,41
BOYUIBE,internaciones,dias camas ocupadas maternidad,2007-01-01,7,7
BUENA VISTA,internaciones,dias camas ocupadas maternidad,2007-01-01,29,29
CABEZAS,internaciones,dias camas ocupadas maternidad,2007-01-01,33,33
CAIROMA,internaciones,dias camas ocupadas maternidad,2007-01-01,7,7
"CAIZA ""D""",internaciones,dias camas ocupadas maternidad,2007-01-01,2,2
CAJUATA,internaciones,dias camas ocupadas maternidad,2007-01-01,3,3
CALAMARCA,internaciones,dias camas ocupadas maternidad,2007-01-01,6,6
CAMARGO,internaciones,dias camas ocupadas maternidad,2007-01-01,163,163
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas maternidad,2007-01-01,12,12
CAMIRI,internaciones,dias camas ocupadas maternidad,2007-01-01,288,288
CAPINOTA,internaciones,dias camas ocupadas maternidad,2007-01-01,46,46
CARACOLLO,internaciones,dias camas ocupadas maternidad,2007-01-01,35,35
CARANAVI,internaciones,dias camas ocupadas maternidad,2007-01-01,148,148
CARAPARI,internaciones,dias camas ocupadas maternidad,2007-01-01,1,1
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas maternidad,2007-01-01,12,12
CHALLAPATA,internaciones,dias camas ocupadas maternidad,2007-01-01,49,49
CHAQUI,internaciones,dias camas ocupadas maternidad,2007-01-01,4,4
CHARAGUA,internaciones,dias camas ocupadas maternidad,2007-01-01,87,87
CHARAÑA,internaciones,dias camas ocupadas maternidad,2007-01-01,4,4
