municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
ACHACACHI,internaciones,dias camas disponibles otros servicios,2007-01-01,271,271
AIQUILE,internaciones,dias camas disponibles otros servicios,2007-01-01,465,465
ALALAY,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
ALCALA,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
ANCORAIMES,internaciones,dias camas disponibles otros servicios,2007-01-01,93,93
ANZALDO,internaciones,dias camas disponibles otros servicios,2007-01-01,60,60
APOLO,internaciones,dias camas disponibles otros servicios,2007-01-01,93,93
ARAMPAMPA,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
ARANI,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
ARBIETO,internaciones,dias camas disponibles otros servicios,2007-01-01,60,60
ARQUE,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles otros servicios,2007-01-01,899,899
ATOCHA,internaciones,dias camas disponibles otros servicios,2007-01-01,1240,1240
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles otros servicios,2007-01-01,1346,1346
AZURDUY,internaciones,dias camas disponibles otros servicios,2007-01-01,372,372
BATALLAS,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
BAURES,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
BERMEJO,internaciones,dias camas disponibles otros servicios,2007-01-01,1245,1245
BETANZOS,internaciones,dias camas disponibles otros servicios,2007-01-01,372,372
BOLIVAR,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
BOYUIBE,internaciones,dias camas disponibles otros servicios,2007-01-01,341,341
BUENA VISTA,internaciones,dias camas disponibles otros servicios,2007-01-01,614,614
CABEZAS,internaciones,dias camas disponibles otros servicios,2007-01-01,310,310
"CAIZA ""D""",internaciones,dias camas disponibles otros servicios,2007-01-01,217,217
CAMARGO,internaciones,dias camas disponibles otros servicios,2007-01-01,744,744
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles otros servicios,2007-01-01,93,93
CAMIRI,internaciones,dias camas disponibles otros servicios,2007-01-01,2511,2511
CAPINOTA,internaciones,dias camas disponibles otros servicios,2007-01-01,434,434
CARACOLLO,internaciones,dias camas disponibles otros servicios,2007-01-01,186,186
CARANAVI,internaciones,dias camas disponibles otros servicios,2007-01-01,1116,1116
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles otros servicios,2007-01-01,19,19
CHALLAPATA,internaciones,dias camas disponibles otros servicios,2007-01-01,558,558
CHAQUI,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
CHARAGUA,internaciones,dias camas disponibles otros servicios,2007-01-01,1057,1057
CHAYANTA,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
CHIMORE,internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
CHIPAYA,internaciones,dias camas disponibles otros servicios,2007-01-01,30,30
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas disponibles otros servicios,2007-01-01,868,868
CHUMA,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
CLIZA,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
COBIJA,internaciones,dias camas disponibles otros servicios,2007-01-01,1942,1942
COCHABAMBA,internaciones,dias camas disponibles otros servicios,2007-01-01,49724,49724
"COLCHA ""K""",internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
COLOMI,internaciones,dias camas disponibles otros servicios,2007-01-01,310,310
COLPA BELGICA,internaciones,dias camas disponibles otros servicios,2007-01-01,172,172
COLQUIRI,internaciones,dias camas disponibles otros servicios,2007-01-01,217,217
COMARAPA,internaciones,dias camas disponibles otros servicios,2007-01-01,713,713
CONCEPCION,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
COPACABANA,internaciones,dias camas disponibles otros servicios,2007-01-01,186,186
CORIPATA,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
CORO CORO,internaciones,dias camas disponibles otros servicios,2007-01-01,186,186
COROICO,internaciones,dias camas disponibles otros servicios,2007-01-01,992,992
COTAGAITA,internaciones,dias camas disponibles otros servicios,2007-01-01,279,279
COTOCA,internaciones,dias camas disponibles otros servicios,2007-01-01,651,651
CUATRO CAÑADAS,internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
CUEVO,internaciones,dias camas disponibles otros servicios,2007-01-01,186,186
CULPINA,internaciones,dias camas disponibles otros servicios,2007-01-01,496,496
CURAHUARA DE CARANGAS,internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
EL ALTO,internaciones,dias camas disponibles otros servicios,2007-01-01,13237,13237
EL PUENTE(STC),internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
EL PUENTE(TJA),internaciones,dias camas disponibles otros servicios,2007-01-01,90,90
EL TORNO,internaciones,dias camas disponibles otros servicios,2007-01-01,1736,1736
EL VILLAR,internaciones,dias camas disponibles otros servicios,2007-01-01,93,93
ENTRE RIOS,internaciones,dias camas disponibles otros servicios,2007-01-01,372,372
ENTRE RIOS,internaciones,dias camas disponibles otros servicios,2007-01-01,448,448
EUCALIPTUS,internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
EXALTACION,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
FERNANDEZ ALONSO,internaciones,dias camas disponibles otros servicios,2007-01-01,837,837
FILADELFIA,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
GENERAL SAAVEDRA,internaciones,dias camas disponibles otros servicios,2007-01-01,248,248
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
GUANAY,internaciones,dias camas disponibles otros servicios,2007-01-01,186,186
GUAYARAMERIN,internaciones,dias camas disponibles otros servicios,2007-01-01,1830,1830
GUTIERREZ,internaciones,dias camas disponibles otros servicios,2007-01-01,640,640
HUACARETA,internaciones,dias camas disponibles otros servicios,2007-01-01,465,465
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
HUACHACALLA,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
HUANUNI,internaciones,dias camas disponibles otros servicios,2007-01-01,180,180
HUARACAJE,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
HUAYLLAMARCA,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
ICHOCA,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
ICLA,internaciones,dias camas disponibles otros servicios,2007-01-01,30,30
INCAHUASI,internaciones,dias camas disponibles otros servicios,2007-01-01,245,245
IRUPANA (VILLA DE LANZA),internaciones,dias camas disponibles otros servicios,2007-01-01,403,403
IXIAMAS,internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
JESUS DE MACHACA,internaciones,dias camas disponibles otros servicios,2007-01-01,93,93
LA ASUNTA,internaciones,dias camas disponibles otros servicios,2007-01-01,341,341
LA GUARDIA,internaciones,dias camas disponibles otros servicios,2007-01-01,403,403
LA PAZ,internaciones,dias camas disponibles otros servicios,2007-01-01,62124,62124
LAGUNILLAS,internaciones,dias camas disponibles otros servicios,2007-01-01,124,124
LLALLAGUA,internaciones,dias camas disponibles otros servicios,2007-01-01,713,713
LLICA,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
LURIBAY,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
MACHARETI,internaciones,dias camas disponibles otros servicios,2007-01-01,527,527
MAGDALENA,internaciones,dias camas disponibles otros servicios,2007-01-01,248,248
MAIRANA,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
MAPIRI,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
MINEROS,internaciones,dias camas disponibles otros servicios,2007-01-01,279,279
MIZQUE,internaciones,dias camas disponibles otros servicios,2007-01-01,525,525
MOJOCOYA,internaciones,dias camas disponibles otros servicios,2007-01-01,217,217
MONTEAGUDO,internaciones,dias camas disponibles otros servicios,2007-01-01,1271,1271
MONTERO,internaciones,dias camas disponibles otros servicios,2007-01-01,1922,1922
MORO MORO,internaciones,dias camas disponibles otros servicios,2007-01-01,91,91
MOROCHATA,internaciones,dias camas disponibles otros servicios,2007-01-01,245,245
OCURI,internaciones,dias camas disponibles otros servicios,2007-01-01,700,700
OMEREQUE,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
ORURO,internaciones,dias camas disponibles otros servicios,2007-01-01,14234,14234
PADILLA,internaciones,dias camas disponibles otros servicios,2007-01-01,341,341
PAILON,internaciones,dias camas disponibles otros servicios,2007-01-01,179,179
PALOS BLANCOS,internaciones,dias camas disponibles otros servicios,2007-01-01,372,372
PAMPA AULLAGAS,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
PAMPA GRANDE,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
PASORAPA,internaciones,dias camas disponibles otros servicios,2007-01-01,93,93
PATACAMAYA,internaciones,dias camas disponibles otros servicios,2007-01-01,217,217
PAZÑA,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
PELECHUCO,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
POCOATA,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
POCONA,internaciones,dias camas disponibles otros servicios,2007-01-01,310,310
POJO (CBBA),internaciones,dias camas disponibles otros servicios,2007-01-01,93,93
POOPO,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
PORCO,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
POROMA,internaciones,dias camas disponibles otros servicios,2007-01-01,332,332
PORONGO,internaciones,dias camas disponibles otros servicios,2007-01-01,279,279
PORTACHUELO,internaciones,dias camas disponibles otros servicios,2007-01-01,1116,1116
PORVENIR,internaciones,dias camas disponibles otros servicios,2007-01-01,22,22
POSTRER VALLE,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
POTOSI,internaciones,dias camas disponibles otros servicios,2007-01-01,7688,7688
PRESTO,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
PUCARA,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
PUCARANI,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
PUERTO ACOSTA,internaciones,dias camas disponibles otros servicios,2007-01-01,527,527
PUERTO CARABUCO,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
PUERTO QUIJARRO,internaciones,dias camas disponibles otros servicios,2007-01-01,310,310
PUERTO RICO,internaciones,dias camas disponibles otros servicios,2007-01-01,174,174
PUERTO SUAREZ,internaciones,dias camas disponibles otros servicios,2007-01-01,899,899
PUERTO VILLARROEL,internaciones,dias camas disponibles otros servicios,2007-01-01,837,837
PUNA,internaciones,dias camas disponibles otros servicios,2007-01-01,341,341
PUNATA,internaciones,dias camas disponibles otros servicios,2007-01-01,775,775
QUILLACOLLO,internaciones,dias camas disponibles otros servicios,2007-01-01,899,899
QUIME,internaciones,dias camas disponibles otros servicios,2007-01-01,248,248
QUIRUSILLAS,internaciones,dias camas disponibles otros servicios,2007-01-01,31,31
RAVELO,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
REYES,internaciones,dias camas disponibles otros servicios,2007-01-01,186,186
RIBERALTA,internaciones,dias camas disponibles otros servicios,2007-01-01,2263,2263
ROBORE,internaciones,dias camas disponibles otros servicios,2007-01-01,421,421
RURRENABAQUE,internaciones,dias camas disponibles otros servicios,2007-01-01,403,403
SACABA,internaciones,dias camas disponibles otros servicios,2007-01-01,1891,1891
SACACA,internaciones,dias camas disponibles otros servicios,2007-01-01,310,310
SAIPINA,internaciones,dias camas disponibles otros servicios,2007-01-01,93,93
SALINAS DE GARCI MENDOZA,internaciones,dias camas disponibles otros servicios,2007-01-01,92,92
SAMAIPATA,internaciones,dias camas disponibles otros servicios,2007-01-01,155,155
SAN ANDRES,internaciones,dias camas disponibles otros servicios,2007-01-01,28,28
SAN ANTONIO DE LOMERIO,internaciones,dias camas disponibles otros servicios,2007-01-01,168,168
SAN BENITO,internaciones,dias camas disponibles otros servicios,2007-01-01,62,62
