municipality,group,variable,month,0 Contrareferidos,TOTAL
ANTEQUERA,internaciones,contrareferidos,2007-01-01,1,1
ARAMPAMPA,internaciones,contrareferidos,2007-01-01,155,155
BERMEJO,internaciones,contrareferidos,2007-01-01,240,240
EL ALTO,internaciones,contrareferidos,2007-01-01,46,46
HUANUNI,internaciones,contrareferidos,2007-01-01,8,8
LA PAZ,internaciones,contrareferidos,2007-01-01,16,16
MACHACAMARCA,internaciones,contrareferidos,2007-01-01,1,1
MIZQUE,internaciones,contrareferidos,2007-01-01,62,62
PORCO,internaciones,contrareferidos,2007-01-01,62,62
RIBERALTA,internaciones,contrareferidos,2007-01-01,79,79
ROBORE,internaciones,contrareferidos,2007-01-01,420,420
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-01-01,62,62
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2007-01-01,31,31
SAN JULIAN,internaciones,contrareferidos,2007-01-01,31,31
SAN LUCAS,internaciones,contrareferidos,2007-01-01,31,31
TARIJA,internaciones,contrareferidos,2007-01-01,1,1
TIRAQUE (CBBA),internaciones,contrareferidos,2007-01-01,16,16
URIONDO (A. CONCEPCION),internaciones,contrareferidos,2007-01-01,27,27
YUNCHARA,internaciones,contrareferidos,2007-01-01,1,1
ANTEQUERA,internaciones,contrareferidos,2007-02-01,1,1
COCHABAMBA,internaciones,contrareferidos,2007-02-01,2,2
COPACABANA,internaciones,contrareferidos,2007-02-01,1,1
EL ALTO,internaciones,contrareferidos,2007-02-01,34,34
HUACHACALLA,internaciones,contrareferidos,2007-02-01,1,1
HUANUNI,internaciones,contrareferidos,2007-02-01,9,9
INCAHUASI,internaciones,contrareferidos,2007-02-01,140,140
LA PAZ,internaciones,contrareferidos,2007-02-01,66,66
MACHACAMARCA,internaciones,contrareferidos,2007-02-01,4,4
ORURO,internaciones,contrareferidos,2007-02-01,7,7
PALOS BLANCOS,internaciones,contrareferidos,2007-02-01,4,4
RIBERALTA,internaciones,contrareferidos,2007-02-01,180,180
ROBORE,internaciones,contrareferidos,2007-02-01,21,21
RURRENABAQUE,internaciones,contrareferidos,2007-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-02-01,27,27
SENA,internaciones,contrareferidos,2007-02-01,310,310
TARIJA,internaciones,contrareferidos,2007-02-01,252,252
TIRAQUE (CBBA),internaciones,contrareferidos,2007-02-01,1,1
YACUIBA,internaciones,contrareferidos,2007-02-01,4,4
YOCALLA,internaciones,contrareferidos,2007-02-01,28,28
BUENA VISTA,internaciones,contrareferidos,2007-03-01,91,91
CAMARGO,internaciones,contrareferidos,2007-03-01,6,6
CAMATAQUI (C. VILLA ABECIA),internaciones,contrareferidos,2007-03-01,4,4
COCHABAMBA,internaciones,contrareferidos,2007-03-01,4,4
EL ALTO,internaciones,contrareferidos,2007-03-01,40,40
GUAYARAMERIN,internaciones,contrareferidos,2007-03-01,3,3
HUACARETA,internaciones,contrareferidos,2007-03-01,1,1
HUANUNI,internaciones,contrareferidos,2007-03-01,4,4
ICLA,internaciones,contrareferidos,2007-03-01,1,1
INCAHUASI,internaciones,contrareferidos,2007-03-01,62,62
LA PAZ,internaciones,contrareferidos,2007-03-01,50,50
MONTERO,internaciones,contrareferidos,2007-03-01,1178,1178
OKINAWA,internaciones,contrareferidos,2007-03-01,93,93
ORURO,internaciones,contrareferidos,2007-03-01,18,18
PALOS BLANCOS,internaciones,contrareferidos,2007-03-01,2,2
PUCARANI,internaciones,contrareferidos,2007-03-01,62,62
RIBERALTA,internaciones,contrareferidos,2007-03-01,7,7
SAIPINA,internaciones,contrareferidos,2007-03-01,172,172
SAN CARLOS,internaciones,contrareferidos,2007-03-01,31,31
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-03-01,36,36
SOPACHUY,internaciones,contrareferidos,2007-03-01,1,1
SORATA,internaciones,contrareferidos,2007-03-01,1,1
SUCRE,internaciones,contrareferidos,2007-03-01,7,7
TARIJA,internaciones,contrareferidos,2007-03-01,279,279
TARVITA,internaciones,contrareferidos,2007-03-01,1,1
TOCO,internaciones,contrareferidos,2007-03-01,31,31
VILLA RIVERO,internaciones,contrareferidos,2007-03-01,1,1
YACUIBA,internaciones,contrareferidos,2007-03-01,1,1
ANZALDO,internaciones,contrareferidos,2007-04-01,2,2
ATOCHA,internaciones,contrareferidos,2007-04-01,14,14
AZURDUY,internaciones,contrareferidos,2007-04-01,1,1
BUENA VISTA,internaciones,contrareferidos,2007-04-01,60,60
CAMARGO,internaciones,contrareferidos,2007-04-01,1,1
CARANAVI,internaciones,contrareferidos,2007-04-01,1,1
COCHABAMBA,internaciones,contrareferidos,2007-04-01,4,4
COPACABANA,internaciones,contrareferidos,2007-04-01,1,1
COTOCA,internaciones,contrareferidos,2007-04-01,1,1
