,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con esquema clasico completo,2020-01-01,1,1,1,1,2
APOLO,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
BATALLAS,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
CARAPARI,rabia,no de personas con esquema clasico completo,2020-01-01,3,0,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con esquema clasico completo,2020-01-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-01-01,7,11,7,11,18
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
COPACABANA,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2020-01-01,2,5,2,5,7
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2020-01-01,13,14,13,14,27
EL TORNO,rabia,no de personas con esquema clasico completo,2020-01-01,3,5,3,5,8
LA ASUNTA,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-01-01,4,4,4,4,8
LA PAZ,rabia,no de personas con esquema clasico completo,2020-01-01,28,24,28,24,52
MAIRANA,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
OMEREQUE,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2020-01-01,5,2,5,2,7
PADILLA,rabia,no de personas con esquema clasico completo,2020-01-01,3,0,3,0,3
PAILON,rabia,no de personas con esquema clasico completo,2020-01-01,0,3,0,3,3
PORONGO,rabia,no de personas con esquema clasico completo,2020-01-01,5,0,5,0,5
POTOSI,rabia,no de personas con esquema clasico completo,2020-01-01,105,127,105,127,232
PUERTO CARABUCO,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2020-01-01,2,0,2,0,2
SAIPINA,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-01-01,82,76,82,76,158
SANTA ROSA DEL SARA,rabia,no de personas con esquema clasico completo,2020-01-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
TARIJA,rabia,no de personas con esquema clasico completo,2020-01-01,11,7,11,7,18
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-01-01,34,15,34,15,49
UYUNI,rabia,no de personas con esquema clasico completo,2020-01-01,0,2,0,2,2
VIACHA,rabia,no de personas con esquema clasico completo,2020-01-01,2,2,2,2,4
VILLA MONTES,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2020-01-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2020-01-01,4,3,4,3,7
YOTALA,rabia,no de personas con esquema clasico completo,2020-01-01,1,1,1,1,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
AIQUILE,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
