municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,81,81
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,222,222
ALALAY,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,61,61
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,10,10
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,402,402
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,507,507
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,36,36
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,93,93
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,86,86
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,688,688
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,86,86
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,99,99
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,340,340
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,3,3
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,407,407
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,4,4
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1215,1215
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,65,65
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,4,4
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,206,206
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,34,34
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,328,328
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,324,324
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,17,17
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,164,164
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,3,3
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,70,70
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,3069,3069
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,37166,37166
