municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,558,558
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,1023,1023
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,31,31
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,62,62
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,371,371
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,279,279
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,31,31
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,90,90
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,62,62
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,1984,1984
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,1109,1109
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,682,682
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,181,181
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,2550,2550
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,527,527
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,62,62
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,301,301
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,340,340
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,248,248
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,93,93
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,1302,1302
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,3366,3366
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,620,620
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,186,186
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2020-01-01,868,868
