municipality,group,variable,month,Cirugia maxilo faciales,TOTAL
ACHOCALLA,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,cirugia maxilo faciales,2009-01-01,78,78
BAURES,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,92,92
COLCAPIRHUA,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,2,2
COTAGAITA,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,2,2
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,7,7
FERNANDEZ ALONSO,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,6,6
GUAYARAMERIN,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,4,4
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,19,19
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,2,2
PUNATA,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,1,1
REYES,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,1,1
RURRENABAQUE,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,1,1
SAN BORJA,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,9,9
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,112,112
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,34,34
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2009-01-01,5,5
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,43,43
COLCAPIRHUA,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,8,8
GUAYARAMERIN,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,3,3
JESUS DE MACHACA,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,13,13
LLALLAGUA,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
MONTERO,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,12,12
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,13,13
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
PUERTO ACOSTA,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
REYES,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
SAN BENITO,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,8,8
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,9,9
SAN JULIAN,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,2,2
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,78,78
SOPACHUY,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,21,21
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
YACUIBA,atenciones odontologicas,cirugia maxilo faciales,2009-02-01,1,1
BERMEJO,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,10,10
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,cirugia maxilo faciales,2009-03-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,79,79
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,3,3
GUAYARAMERIN,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,9,9
JESUS DE MACHACA,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,1,1
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,50,50
LLALLAGUA,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,8,8
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,18,18
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,1,1
RURRENABAQUE,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,11,11
SAN JULIAN,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,3,3
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,629,629
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,27,27
TARACO,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,2,2
