municipality,group,variable,month,Consultas nuevas en menores de 5 años,TOTAL
ACHACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,142,142
ACHOCALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,67,67
AIQUILE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,72,72
ALALAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,1,1
ALCALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,204,204
ANCORAIMES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,52,52
ANDAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3,3
ANTEQUERA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
ANZALDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,28,28
APOLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,30,30
ARAMPAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3,3
ARANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,28,28
ARBIETO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,96,96
ARQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,14,14
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,10,10
ATOCHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,5,5
AYATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,55,55
AYO AYO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,46,46
BATALLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,21,21
BAURES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
BELEN DE URMIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
BERMEJO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,21,21
BETANZOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,66,66
BOLIVAR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,1,1
BOLPEBRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,47,47
BOYUIBE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,26,26
BUENA VISTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
