municipality,group,variable,month,Restauraciones,TOTAL
ACHACACHI,atenciones odontologicas,restauraciones,2009-01-01,54,54
ACHOCALLA,atenciones odontologicas,restauraciones,2009-01-01,34,34
AIQUILE,atenciones odontologicas,restauraciones,2009-01-01,125,125
ALALAY,atenciones odontologicas,restauraciones,2009-01-01,13,13
ALCALA,atenciones odontologicas,restauraciones,2009-01-01,36,36
ANCORAIMES,atenciones odontologicas,restauraciones,2009-01-01,16,16
ANDAMARCA,atenciones odontologicas,restauraciones,2009-01-01,3,3
ANTEQUERA,atenciones odontologicas,restauraciones,2009-01-01,34,34
ANZALDO,atenciones odontologicas,restauraciones,2009-01-01,68,68
APOLO,atenciones odontologicas,restauraciones,2009-01-01,42,42
ARAMPAMPA,atenciones odontologicas,restauraciones,2009-01-01,10,10
ARANI,atenciones odontologicas,restauraciones,2009-01-01,60,60
ARBIETO,atenciones odontologicas,restauraciones,2009-01-01,34,34
ARQUE,atenciones odontologicas,restauraciones,2009-01-01,23,23
ASCENCION DE GUARAYOS,atenciones odontologicas,restauraciones,2009-01-01,62,62
ATOCHA,atenciones odontologicas,restauraciones,2009-01-01,1,1
AYATA,atenciones odontologicas,restauraciones,2009-01-01,33,33
AYO AYO,atenciones odontologicas,restauraciones,2009-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,restauraciones,2009-01-01,186,186
BATALLAS,atenciones odontologicas,restauraciones,2009-01-01,3,3
BAURES,atenciones odontologicas,restauraciones,2009-01-01,102,102
BELEN DE URMIRI,atenciones odontologicas,restauraciones,2009-01-01,1,1
BERMEJO,atenciones odontologicas,restauraciones,2009-01-01,462,462
BETANZOS,atenciones odontologicas,restauraciones,2009-01-01,235,235
BOLIVAR,atenciones odontologicas,restauraciones,2009-01-01,29,29
BOLPEBRA,atenciones odontologicas,restauraciones,2009-01-01,19,19
BOYUIBE,atenciones odontologicas,restauraciones,2009-01-01,58,58
BUENA VISTA,atenciones odontologicas,restauraciones,2009-01-01,6,6
CABEZAS,atenciones odontologicas,restauraciones,2009-01-01,61,61
CAIROMA,atenciones odontologicas,restauraciones,2009-01-01,17,17
"CAIZA ""D""",atenciones odontologicas,restauraciones,2009-01-01,8,8
CAJUATA,atenciones odontologicas,restauraciones,2009-01-01,7,7
CALACOTO,atenciones odontologicas,restauraciones,2009-01-01,10,10
CALAMARCA,atenciones odontologicas,restauraciones,2009-01-01,117,117
CAMARGO,atenciones odontologicas,restauraciones,2009-01-01,212,212
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,restauraciones,2009-01-01,33,33
CAMIRI,atenciones odontologicas,restauraciones,2009-01-01,417,417
CAPINOTA,atenciones odontologicas,restauraciones,2009-01-01,209,209
CAQUIAVIRI,atenciones odontologicas,restauraciones,2009-01-01,11,11
CARACOLLO,atenciones odontologicas,restauraciones,2009-01-01,53,53
CARANAVI,atenciones odontologicas,restauraciones,2009-01-01,26,26
CARAPARI,atenciones odontologicas,restauraciones,2009-01-01,253,253
CARIPUYO,atenciones odontologicas,restauraciones,2009-01-01,11,11
CARMEN RIVERO TORREZ,atenciones odontologicas,restauraciones,2009-01-01,14,14
CHALLAPATA,atenciones odontologicas,restauraciones,2009-01-01,153,153
CHAQUI,atenciones odontologicas,restauraciones,2009-01-01,30,30
CHARAGUA,atenciones odontologicas,restauraciones,2009-01-01,79,79
CHAYANTA,atenciones odontologicas,restauraciones,2009-01-01,109,109
CHIMORE,atenciones odontologicas,restauraciones,2009-01-01,56,56
CHOQUE COTA,atenciones odontologicas,restauraciones,2009-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,restauraciones,2009-01-01,102,102
CHUMA,atenciones odontologicas,restauraciones,2009-01-01,15,15
CLIZA,atenciones odontologicas,restauraciones,2009-01-01,396,396
COBIJA,atenciones odontologicas,restauraciones,2009-01-01,227,227
COCHABAMBA,atenciones odontologicas,restauraciones,2009-01-01,7795,7795
COLCAPIRHUA,atenciones odontologicas,restauraciones,2009-01-01,274,274
COLLANA,atenciones odontologicas,restauraciones,2009-01-01,51,51
COLOMI,atenciones odontologicas,restauraciones,2009-01-01,148,148
COLPA BELGICA,atenciones odontologicas,restauraciones,2009-01-01,112,112
COLQUECHACA,atenciones odontologicas,restauraciones,2009-01-01,20,20
COLQUENCHA,atenciones odontologicas,restauraciones,2009-01-01,35,35
COLQUIRI,atenciones odontologicas,restauraciones,2009-01-01,55,55
COMANCHE,atenciones odontologicas,restauraciones,2009-01-01,3,3
COMARAPA,atenciones odontologicas,restauraciones,2009-01-01,342,342
COMBAYA,atenciones odontologicas,restauraciones,2009-01-01,42,42
CONCEPCION,atenciones odontologicas,restauraciones,2009-01-01,84,84
COPACABANA,atenciones odontologicas,restauraciones,2009-01-01,26,26
