municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,7,7
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,49,49
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,13,13
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,22,22
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,6,6
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,8,8
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,10,10
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,22,22
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,2,2
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,7,7
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,9,9
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,4,4
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,14,14
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,7,7
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,40,40
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,87,87
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,13,13
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,1,1
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,11,11
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,25,25
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,15,15
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,7,7
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,5,5
BELEN DE ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,1,1
BELEN DE URMIRI,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,1,1
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,46,46
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,26,26
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,4,4
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,17,17
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,21,21
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2011-01-01,16,16
