municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2011-01-01,3,3
AIQUILE,atencion de partos en servicios,cesareas,2011-01-01,8,8
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2011-01-01,18,18
BAURES,atencion de partos en servicios,cesareas,2011-01-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2011-01-01,20,20
CAMARGO,atencion de partos en servicios,cesareas,2011-01-01,9,9
CAMIRI,atencion de partos en servicios,cesareas,2011-01-01,30,30
CARANAVI,atencion de partos en servicios,cesareas,2011-01-01,18,18
CHALLAPATA,atencion de partos en servicios,cesareas,2011-01-01,2,2
CHARAGUA,atencion de partos en servicios,cesareas,2011-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2011-01-01,2,2
COBIJA,atencion de partos en servicios,cesareas,2011-01-01,54,54
COCHABAMBA,atencion de partos en servicios,cesareas,2011-01-01,723,723
COLCAPIRHUA,atencion de partos en servicios,cesareas,2011-01-01,15,15
COMARAPA,atencion de partos en servicios,cesareas,2011-01-01,6,6
CONCEPCION,atencion de partos en servicios,cesareas,2011-01-01,6,6
COROICO,atencion de partos en servicios,cesareas,2011-01-01,11,11
COTOCA,atencion de partos en servicios,cesareas,2011-01-01,1,1
CULPINA,atencion de partos en servicios,cesareas,2011-01-01,5,5
EL ALTO,atencion de partos en servicios,cesareas,2011-01-01,252,252
EL TORNO,atencion de partos en servicios,cesareas,2011-01-01,11,11
GUAYARAMERIN,atencion de partos en servicios,cesareas,2011-01-01,37,37
HUARACAJE,atencion de partos en servicios,cesareas,2011-01-01,2,2
LA PAZ,atencion de partos en servicios,cesareas,2011-01-01,557,557
LLALLAGUA,atencion de partos en servicios,cesareas,2011-01-01,9,9
MAGDALENA,atencion de partos en servicios,cesareas,2011-01-01,5,5
MAIRANA,atencion de partos en servicios,cesareas,2011-01-01,14,14
MONTEAGUDO,atencion de partos en servicios,cesareas,2011-01-01,9,9
MONTERO,atencion de partos en servicios,cesareas,2011-01-01,98,98
ORURO,atencion de partos en servicios,cesareas,2011-01-01,249,249
PADILLA,atencion de partos en servicios,cesareas,2011-01-01,10,10
PORTACHUELO,atencion de partos en servicios,cesareas,2011-01-01,34,34
POTOSI,atencion de partos en servicios,cesareas,2011-01-01,77,77
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2011-01-01,7,7
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2011-01-01,12,12
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2011-01-01,12,12
PUNATA,atencion de partos en servicios,cesareas,2011-01-01,28,28
QUILLACOLLO,atencion de partos en servicios,cesareas,2011-01-01,35,35
REYES,atencion de partos en servicios,cesareas,2011-01-01,2,2
RIBERALTA,atencion de partos en servicios,cesareas,2011-01-01,49,49
ROBORE,atencion de partos en servicios,cesareas,2011-01-01,12,12
RURRENABAQUE,atencion de partos en servicios,cesareas,2011-01-01,5,5
SACABA,atencion de partos en servicios,cesareas,2011-01-01,46,46
SAMAIPATA,atencion de partos en servicios,cesareas,2011-01-01,10,10
SAN BORJA,atencion de partos en servicios,cesareas,2011-01-01,17,17
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2011-01-01,4,4
SAN CARLOS,atencion de partos en servicios,cesareas,2011-01-01,15,15
SAN IGNACIO,atencion de partos en servicios,cesareas,2011-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2011-01-01,34,34
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2011-01-01,6,6
SAN JOAQUIN,atencion de partos en servicios,cesareas,2011-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2011-01-01,8,8
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2011-01-01,2,2
SAN JULIAN,atencion de partos en servicios,cesareas,2011-01-01,2,2
SAN RAMON BENI,atencion de partos en servicios,cesareas,2011-01-01,3,3
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2011-01-01,5,5
SANTA ANA,atencion de partos en servicios,cesareas,2011-01-01,11,11
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2011-01-01,1398,1398
SANTA ROSA,atencion de partos en servicios,cesareas,2011-01-01,3,3
SHINAOTA,atencion de partos en servicios,cesareas,2011-01-01,21,21
SOPACHUY,atencion de partos en servicios,cesareas,2011-01-01,1,1
SUCRE,atencion de partos en servicios,cesareas,2011-01-01,209,209
TARABUCO,atencion de partos en servicios,cesareas,2011-01-01,2,2
TARIJA,atencion de partos en servicios,cesareas,2011-01-01,156,156
TIQUIPAYA,atencion de partos en servicios,cesareas,2011-01-01,17,17
TRINIDAD,atencion de partos en servicios,cesareas,2011-01-01,85,85
TUPIZA,atencion de partos en servicios,cesareas,2011-01-01,8,8
UYUNI,atencion de partos en servicios,cesareas,2011-01-01,10,10
VALLEGRANDE,atencion de partos en servicios,cesareas,2011-01-01,21,21
VILLA MONTES,atencion de partos en servicios,cesareas,2011-01-01,31,31
VILLA TUNARI,atencion de partos en servicios,cesareas,2011-01-01,19,19
VILLAZON,atencion de partos en servicios,cesareas,2011-01-01,14,14
VINTO,atencion de partos en servicios,cesareas,2011-01-01,6,6
WARNES,atencion de partos en servicios,cesareas,2011-01-01,13,13
YACUIBA,atencion de partos en servicios,cesareas,2011-01-01,50,50
