municipality,group,variable,month,Nacidos muertos,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos,2011-01-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2011-01-01,22,22
CONCEPCION,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2011-01-01,18,18
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
HUANUNI,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2011-01-01,25,25
LAJA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2011-01-01,6,6
ORURO,atencion de partos en servicios,nacidos muertos,2011-01-01,8,8
PADILLA,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
PASORAPA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos,2011-01-01,9,9
PUERTO QUIJARRO,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2011-01-01,4,4
RIBERALTA,atencion de partos en servicios,nacidos muertos,2011-01-01,3,3
SACABA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
SAMAIPATA,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2011-01-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
SAN LORENZO(PND),atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2011-01-01,36,36
SANTA ROSA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
SHINAOTA,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
SUCRE,atencion de partos en servicios,nacidos muertos,2011-01-01,10,10
TACOBAMBA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
TARABUCO,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2011-01-01,4,4
TRINIDAD,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
TUPIZA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2011-01-01,4,4
VINTO,atencion de partos en servicios,nacidos muertos,2011-01-01,2,2
WARNES,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2011-01-01,1,1
ACHOCALLA,atencion de partos en servicios,nacidos muertos,2011-02-01,1,1
