,group,variable,month,L 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,L 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,28,28
AIQUILE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,2,2
ALCALA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,6,6
ANDAMARCA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,1,1
ARANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,5,5
ARBIETO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,10,10
ASCENCION DE GUARAYOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,59,59
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,21,21
AZURDUY,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,11,11
BATALLAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,2,2
BELEN DE ANDAMARCA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,1,1
BERMEJO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,50,50
BETANZOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,20,20
BUENA VISTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,12,12
CABEZAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,16,16
CAMARGO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,47,47
CAMATAQUI (C. VILLA ABECIA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,4,4
CAMIRI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,232,232
CARACOLLO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,21,21
CARANAVI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,138,138
CARMEN RIVERO TORREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,4,4
CHALLAPATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,54,54
CHIMORE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,15,15
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,43,43
COBIJA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,248,248
COCAPATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,1,1
COCHABAMBA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,573,573
COLCAPIRHUA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,16,16
"COLCHA ""K""",vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,2,2
COLPA BELGICA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,14,14
COMARAPA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,28,28
COROICO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,42,42
CORQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,2,2
COTAGAITA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,7,7
COTOCA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
CUATRO CAÑADAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,30,30
CUEVO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,8,8
CULPINA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,41,41
DESAGUADERO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
EL ALTO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,983,983
