,group,variable,month,L 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,L 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,28,31
ANDAMARCA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
ARBIETO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
ASCENCION DE GUARAYOS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,17,21,38
AYATA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,0,3
BELEN DE ANDAMARCA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
BERMEJO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,4,4
BETANZOS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,2,2
BUENA VISTA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
CAMARGO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,4,7
CAMATAQUI (C. VILLA ABECIA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,16,16
CAMIRI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,16,222,238
CARACOLLO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,3,3
CARANAVI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,24,150,174
CHALLAPATA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,54,56
CHIMORE,vih,l 22.3        n de personas con prueba rapida,2012-01-01,4,4,8
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.3        n de personas con prueba rapida,2012-01-01,6,4,10
COBIJA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,6,46,52
COCAPATA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
COCHABAMBA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,308,304,612
COLPA BELGICA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,8,36,44
COMARAPA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,2,3
COROICO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,32,37,69
COTAGAITA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,7,8
COTOCA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,4,4
CUATRO CAÑADAS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,10,10
DESAGUADERO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
EL ALTO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,235,1424,1659
EL PUENTE(STC),vih,l 22.3        n de personas con prueba rapida,2012-01-01,12,28,40
EL TORNO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,109,178,287
EL VILLAR,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,5,5
ENTRE RIOS TRJ,vih,l 22.3        n de personas con prueba rapida,2012-01-01,7,40,47
ESCOMA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,3,5
EUCALIPTUS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
EUREKA (SANTOS MERCADO),vih,l 22.3        n de personas con prueba rapida,2012-01-01,4,6,10
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
GUAYARAMERIN,vih,l 22.3        n de personas con prueba rapida,2012-01-01,42,73,115
GUTIERREZ,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,30,30
HUACAYA (VILLA DE HUACAYA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,2,2
HUANUNI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,1,3
ICLA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
INCAHUASI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
INQUISIVI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,1,2
IRUPANA (VILLA DE LANZA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,5,5
LA ASUNTA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,9,4,13
