municipality,group,variable,month,Nacidos muertos,TOTAL
AIQUILE,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
APOLO,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
ARQUE,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
AZURDUY,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
BETANZOS,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos,2007-01-01,2,2
CAMIRI,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos,2007-01-01,2,2
CHARAGUA,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
CHAYANTA,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos,2007-01-01,3,3
COCHABAMBA,atencion de partos en servicio,nacidos muertos,2007-01-01,16,16
COLOMI,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
COLQUECHACA,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
COMARAPA,atencion de partos en servicio,nacidos muertos,2007-01-01,2,2
COPACABANA,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
COROICO,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
CULPINA,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos,2007-01-01,24,24
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos,2007-01-01,4,4
HUANUNI,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
ICLA,atencion de partos en servicio,nacidos muertos,2007-01-01,2,2
LA PAZ,atencion de partos en servicio,nacidos muertos,2007-01-01,17,17
LLALLAGUA,atencion de partos en servicio,nacidos muertos,2007-01-01,2,2
MAIRANA,atencion de partos en servicio,nacidos muertos,2007-01-01,2,2
MIZQUE,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
MONTEAGUDO,atencion de partos en servicio,nacidos muertos,2007-01-01,2,2
MONTERO,atencion de partos en servicio,nacidos muertos,2007-01-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos,2007-01-01,10,10
