municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,10,10
ACHACACHI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,50,50
ACHOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,9,9
AIQUILE,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,37,37
ALCALA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,5,5
ANCORAIMES,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,25,25
ANDAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
ANZALDO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
APOLO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,29,29
ARAMPAMPA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,9,9
ARANI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,11,11
ARBIETO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
ARQUE,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,15,15
ASCENCION DE GUARAYOS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,56,56
ATOCHA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,17,17
AYATA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,14,14
AYO AYO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,22,22
AZURDUY,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,28,28
BATALLAS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,16,16
BAURES,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
BELLA FLOR,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,4,4
BERMEJO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,24,24
BETANZOS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,32,32
BOLIVAR,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,13,13
BOYUIBE,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
BUENA VISTA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,11,11
CABEZAS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,10,10
CAIROMA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,10,10
"CAIZA ""D""",atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,13,13
CAJUATA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,7,7
CALACOTO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
CALAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,15,15
CAMARGO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,29,29
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
CAMIRI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,17,17
CAPINOTA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,35,35
CAQUIAVIRI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,11,11
CARACOLLO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,36,36
CARANAVI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,49,49
CARANGAS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,1,1
CARAPARI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,8,8
CARIPUYO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
CATACORA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,3,3
CHACARILLA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,1,1
CHALLAPATA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,48,48
CHAQUI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,4,4
CHARAGUA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,43,43
CHARAÑA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
CHAYANTA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,16,16
CHIMORE,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,51,51
CHIPAYA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,18,18
CHUMA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,14,14
CLIZA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,21,21
COBIJA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,34,34
COCHABAMBA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,723,723
COLCAPIRHUA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,33,33
"COLCHA ""K""",atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,9,9
COLLANA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,3,3
COLOMI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,31,31
COLPA BELGICA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,7,7
COLQUECHACA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,66,66
COLQUENCHA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
COLQUIRI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,16,16
COMANCHE,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
COMARAPA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,26,26
COMBAYA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
CONCEPCION,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,5,5
COPACABANA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,13,13
CORIPATA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,13,13
CORO CORO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,9,9
COROICO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,8,8
CORQUE,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,4,4
COTAGAITA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,19,19
COTOCA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,35,35
CUATRO CAÑADAS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,13,13
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,3,3
CUEVO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,7,7
CULPINA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,37,37
CURAHUARA DE CARANGAS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,4,4
CURVA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,1,1
DESAGUADERO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,12,12
EL ALTO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,660,660
EL CHORO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,3,3
EL PUENTE(STC),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,10,10
EL PUENTE(TJA),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,12,12
EL TORNO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,37,37
EL VILLAR,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,3,3
ENTRE RIOS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,12,12
ENTRE RIOS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,24,24
EUCALIPTUS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,12,12
EXALTACION,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,23,23
GENERAL SAAVEDRA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,14,14
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,8,8
GUANAY,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
GUAQUI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,10,10
GUAYARAMERIN,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,61,61
GUTIERREZ,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,1,1
HUACARETA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,20,20
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,4,4
HUACHACALLA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
HUANUNI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,28,28
HUARACAJE,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
HUAYLLAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,8,8
ICHOCA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,12,12
ICLA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,25,25
INCAHUASI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,37,37
INQUISIVI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,20,20
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,17,17
IXIAMAS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,11,11
JESUS DE MACHACA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,11,11
LA ASUNTA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,43,43
LA GUARDIA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,46,46
LA PAZ,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,1300,1300
LAGUNILLAS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
LAJA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,26,26
LAS CARRERAS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,3,3
LICOMA PAMPA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,9,9
LLALLAGUA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,60,60
LLICA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,1,1
LORETO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,4,4
LURIBAY,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,8,8
MACHACAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,2,2
MACHARETI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,14,14
MAGDALENA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,24,24
MAIRANA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,10,10
MALLA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,6,6
MAPIRI,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,22,22
MECAPACA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,14,14
MINEROS,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,18,18
MIZQUE,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,40,40
MOCOMOCO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,21,21
MOJOCOYA,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,10,10
MONTEAGUDO,atencion de partos en servicio,mujeres con primer control post parto,2007-01-01,40,40
