municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
ANCORAIMES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
APOLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
ARQUE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
BETANZOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,9,9
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,15,15
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,2,2
ICLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,2,2
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,13,13
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
MAIRANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,9,9
POCONA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,3,3
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,2,2
RIBERALTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,2,2
ROBORE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
SAN CARLOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,3,3
SAN JULIAN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,2,2
SAN LUCAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,22,22
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,3,3
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
WARNES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,2,2
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
YAPACANI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-01-01,1,1
AIQUILE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
AYATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
BOYUIBE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,15,15
CORIPATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
CORO CORO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,11,11
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,6,6
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
MAGDALENA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
OCURI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
PRESTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
PUNA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
RIBERALTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
ROBORE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
SACABA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
TARVITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
UNCIA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
VILLA MONTES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,2,2
VITICHI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,3,3
WARNES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
YAPACANI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
YOTALA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-02-01,1,1
ACACIO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
CAMIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,14,14
COMARAPA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
CORIPATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,2,2
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,11,11
EL TORNO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
ICLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,11,11
MAPIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,2,2
MONTEAGUDO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,8,8
PADCAYA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
POCOATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
POROMA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,3,3
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,3,3
RAVELO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
REYES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,1,1
RIBERALTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,3,3
SACABA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2007-03-01,2,2
