municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicio,nacidos vivos,2007-01-01,6,6
ACHACACHI,atencion de partos en servicio,nacidos vivos,2007-01-01,26,26
ACHOCALLA,atencion de partos en servicio,nacidos vivos,2007-01-01,6,6
AIQUILE,atencion de partos en servicio,nacidos vivos,2007-01-01,41,41
ALCALA,atencion de partos en servicio,nacidos vivos,2007-01-01,6,6
ANCORAIMES,atencion de partos en servicio,nacidos vivos,2007-01-01,5,5
ANDAMARCA,atencion de partos en servicio,nacidos vivos,2007-01-01,1,1
ANZALDO,atencion de partos en servicio,nacidos vivos,2007-01-01,4,4
APOLO,atencion de partos en servicio,nacidos vivos,2007-01-01,9,9
ARAMPAMPA,atencion de partos en servicio,nacidos vivos,2007-01-01,1,1
ARANI,atencion de partos en servicio,nacidos vivos,2007-01-01,3,3
ARBIETO,atencion de partos en servicio,nacidos vivos,2007-01-01,1,1
ARQUE,atencion de partos en servicio,nacidos vivos,2007-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos,2007-01-01,56,56
ATOCHA,atencion de partos en servicio,nacidos vivos,2007-01-01,18,18
AYO AYO,atencion de partos en servicio,nacidos vivos,2007-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos,2007-01-01,25,25
AZURDUY,atencion de partos en servicio,nacidos vivos,2007-01-01,12,12
BATALLAS,atencion de partos en servicio,nacidos vivos,2007-01-01,8,8
BAURES,atencion de partos en servicio,nacidos vivos,2007-01-01,6,6
BELLA FLOR,atencion de partos en servicio,nacidos vivos,2007-01-01,1,1
BERMEJO,atencion de partos en servicio,nacidos vivos,2007-01-01,39,39
BETANZOS,atencion de partos en servicio,nacidos vivos,2007-01-01,18,18
BOYUIBE,atencion de partos en servicio,nacidos vivos,2007-01-01,4,4
BUENA VISTA,atencion de partos en servicio,nacidos vivos,2007-01-01,16,16
CABEZAS,atencion de partos en servicio,nacidos vivos,2007-01-01,21,21
CAIROMA,atencion de partos en servicio,nacidos vivos,2007-01-01,4,4
"CAIZA ""D""",atencion de partos en servicio,nacidos vivos,2007-01-01,5,5
CAJUATA,atencion de partos en servicio,nacidos vivos,2007-01-01,3,3
