municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicio,cesareas,2007-01-01,1,1
AIQUILE,atencion de partos en servicio,cesareas,2007-01-01,11,11
ASCENCION DE GUARAYOS,atencion de partos en servicio,cesareas,2007-01-01,9,9
ATOCHA,atencion de partos en servicio,cesareas,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,cesareas,2007-01-01,4,4
AZURDUY,atencion de partos en servicio,cesareas,2007-01-01,1,1
BAURES,atencion de partos en servicio,cesareas,2007-01-01,2,2
BERMEJO,atencion de partos en servicio,cesareas,2007-01-01,13,13
BETANZOS,atencion de partos en servicio,cesareas,2007-01-01,2,2
CAMARGO,atencion de partos en servicio,cesareas,2007-01-01,13,13
CAMIRI,atencion de partos en servicio,cesareas,2007-01-01,31,31
CARANAVI,atencion de partos en servicio,cesareas,2007-01-01,21,21
CHARAGUA,atencion de partos en servicio,cesareas,2007-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,cesareas,2007-01-01,3,3
COBIJA,atencion de partos en servicio,cesareas,2007-01-01,36,36
COCHABAMBA,atencion de partos en servicio,cesareas,2007-01-01,597,597
COLCAPIRHUA,atencion de partos en servicio,cesareas,2007-01-01,1,1
COMARAPA,atencion de partos en servicio,cesareas,2007-01-01,7,7
CONCEPCION,atencion de partos en servicio,cesareas,2007-01-01,5,5
COPACABANA,atencion de partos en servicio,cesareas,2007-01-01,3,3
COROICO,atencion de partos en servicio,cesareas,2007-01-01,4,4
COTOCA,atencion de partos en servicio,cesareas,2007-01-01,9,9
EL ALTO,atencion de partos en servicio,cesareas,2007-01-01,164,164
EL TORNO,atencion de partos en servicio,cesareas,2007-01-01,7,7
GUAYARAMERIN,atencion de partos en servicio,cesareas,2007-01-01,23,23
HUANUNI,atencion de partos en servicio,cesareas,2007-01-01,6,6
LA PAZ,atencion de partos en servicio,cesareas,2007-01-01,489,489
LLALLAGUA,atencion de partos en servicio,cesareas,2007-01-01,12,12
MAGDALENA,atencion de partos en servicio,cesareas,2007-01-01,8,8
MAIRANA,atencion de partos en servicio,cesareas,2007-01-01,9,9
MONTEAGUDO,atencion de partos en servicio,cesareas,2007-01-01,14,14
MONTERO,atencion de partos en servicio,cesareas,2007-01-01,65,65
ORURO,atencion de partos en servicio,cesareas,2007-01-01,166,166
PADILLA,atencion de partos en servicio,cesareas,2007-01-01,5,5
PORTACHUELO,atencion de partos en servicio,cesareas,2007-01-01,20,20
POTOSI,atencion de partos en servicio,cesareas,2007-01-01,44,44
PUERTO ACOSTA,atencion de partos en servicio,cesareas,2007-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicio,cesareas,2007-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicio,cesareas,2007-01-01,9,9
PUERTO VILLARROEL,atencion de partos en servicio,cesareas,2007-01-01,15,15
PUNATA,atencion de partos en servicio,cesareas,2007-01-01,13,13
QUILLACOLLO,atencion de partos en servicio,cesareas,2007-01-01,52,52
REYES,atencion de partos en servicio,cesareas,2007-01-01,5,5
RIBERALTA,atencion de partos en servicio,cesareas,2007-01-01,56,56
ROBORE,atencion de partos en servicio,cesareas,2007-01-01,6,6
RURRENABAQUE,atencion de partos en servicio,cesareas,2007-01-01,9,9
SACABA,atencion de partos en servicio,cesareas,2007-01-01,3,3
SAMAIPATA,atencion de partos en servicio,cesareas,2007-01-01,3,3
SAN BORJA,atencion de partos en servicio,cesareas,2007-01-01,16,16
SAN BUENA VENTURA,atencion de partos en servicio,cesareas,2007-01-01,1,1
SAN CARLOS,atencion de partos en servicio,cesareas,2007-01-01,16,16
SAN IGNACIO,atencion de partos en servicio,cesareas,2007-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,cesareas,2007-01-01,23,23
SAN JAVIER(STC),atencion de partos en servicio,cesareas,2007-01-01,4,4
SAN JOAQUIN,atencion de partos en servicio,cesareas,2007-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,cesareas,2007-01-01,4,4
SAN JUAN DE YAPACANI,atencion de partos en servicio,cesareas,2007-01-01,7,7
SAN JULIAN,atencion de partos en servicio,cesareas,2007-01-01,9,9
SAN LUCAS,atencion de partos en servicio,cesareas,2007-01-01,4,4
SAN MATIAS,atencion de partos en servicio,cesareas,2007-01-01,2,2
SAN RAMON,atencion de partos en servicio,cesareas,2007-01-01,6,6
SANTA ANA,atencion de partos en servicio,cesareas,2007-01-01,15,15
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,cesareas,2007-01-01,1087,1087
SANTA ROSA,atencion de partos en servicio,cesareas,2007-01-01,4,4
SIPE SIPE,atencion de partos en servicio,cesareas,2007-01-01,3,3
SUCRE,atencion de partos en servicio,cesareas,2007-01-01,165,165
TARABUCO,atencion de partos en servicio,cesareas,2007-01-01,1,1
TARIJA,atencion de partos en servicio,cesareas,2007-01-01,110,110
TIQUIPAYA,atencion de partos en servicio,cesareas,2007-01-01,2,2
TIRAQUE (CBBA),atencion de partos en servicio,cesareas,2007-01-01,3,3
TRINIDAD,atencion de partos en servicio,cesareas,2007-01-01,51,51
TUPIZA,atencion de partos en servicio,cesareas,2007-01-01,5,5
UNCIA,atencion de partos en servicio,cesareas,2007-01-01,3,3
UYUNI,atencion de partos en servicio,cesareas,2007-01-01,11,11
VALLEGRANDE,atencion de partos en servicio,cesareas,2007-01-01,12,12
VILLA MONTES,atencion de partos en servicio,cesareas,2007-01-01,16,16
VILLA TUNARI,atencion de partos en servicio,cesareas,2007-01-01,24,24
VILLAZON,atencion de partos en servicio,cesareas,2007-01-01,6,6
WARNES,atencion de partos en servicio,cesareas,2007-01-01,23,23
YACUIBA,atencion de partos en servicio,cesareas,2007-01-01,36,36
YAPACANI,atencion de partos en servicio,cesareas,2007-01-01,5,5
AIQUILE,atencion de partos en servicio,cesareas,2007-02-01,7,7
ASCENCION DE GUARAYOS,atencion de partos en servicio,cesareas,2007-02-01,8,8
ATOCHA,atencion de partos en servicio,cesareas,2007-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,cesareas,2007-02-01,2,2
BERMEJO,atencion de partos en servicio,cesareas,2007-02-01,7,7
BETANZOS,atencion de partos en servicio,cesareas,2007-02-01,1,1
CAMARGO,atencion de partos en servicio,cesareas,2007-02-01,12,12
CAMIRI,atencion de partos en servicio,cesareas,2007-02-01,27,27
CARACOLLO,atencion de partos en servicio,cesareas,2007-02-01,1,1
CARANAVI,atencion de partos en servicio,cesareas,2007-02-01,12,12
CHARAGUA,atencion de partos en servicio,cesareas,2007-02-01,8,8
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,cesareas,2007-02-01,1,1
COBIJA,atencion de partos en servicio,cesareas,2007-02-01,30,30
COCHABAMBA,atencion de partos en servicio,cesareas,2007-02-01,506,506
COLCAPIRHUA,atencion de partos en servicio,cesareas,2007-02-01,5,5
COMARAPA,atencion de partos en servicio,cesareas,2007-02-01,4,4
CONCEPCION,atencion de partos en servicio,cesareas,2007-02-01,2,2
COPACABANA,atencion de partos en servicio,cesareas,2007-02-01,2,2
COROICO,atencion de partos en servicio,cesareas,2007-02-01,8,8
COTOCA,atencion de partos en servicio,cesareas,2007-02-01,14,14
EL ALTO,atencion de partos en servicio,cesareas,2007-02-01,177,177
EL TORNO,atencion de partos en servicio,cesareas,2007-02-01,12,12
GUAYARAMERIN,atencion de partos en servicio,cesareas,2007-02-01,20,20
HUANUNI,atencion de partos en servicio,cesareas,2007-02-01,2,2
LA PAZ,atencion de partos en servicio,cesareas,2007-02-01,423,423
LLALLAGUA,atencion de partos en servicio,cesareas,2007-02-01,15,15
MAGDALENA,atencion de partos en servicio,cesareas,2007-02-01,3,3
MAIRANA,atencion de partos en servicio,cesareas,2007-02-01,7,7
MONTEAGUDO,atencion de partos en servicio,cesareas,2007-02-01,9,9
