municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
ALTO BENI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,5,5
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,5,5
BOLPEBRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
COCAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,24,24
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
HUACHACALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,4,4
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
MACHACAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
PAILON,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,9,9
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,5,5
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
PUERTO GONZALO MORENO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
PUERTO RICO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,4,4
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,14,14
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,4,4
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,5,5
