municipality,group,variable,month,N° de TBP BAAR (-) nuevos,TOTAL
BERMEJO,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,3,3
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,14,14
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,2,2
COTOCA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,33,33
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,8,8
EL TORNO,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,44,44
HUACAYA (VILLA DE HUACAYA),tuberculosis,n de tbp baar (-) nuevos,2008-01-01,4,4
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,2,2
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,20,20
MAPIRI,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,3,3
PORONGO,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,9,9
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,3,3
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,5,5
PUNATA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,2,2
QUILLACOLLO,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,4,4
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,4,4
SORATA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,7,7
TACACOMA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,2,2
UNCIA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,6,6
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,1,1
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2008-01-01,40,40
ACHACACHI,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
CAMARGO,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,2,2
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,2,2
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,12,12
CLIZA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
COLCAPIRHUA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
COLOMI,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
COROICO,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
COTOCA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,36,36
CULPINA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,2,2
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,5,5
EL TORNO,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,43,43
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,10,10
LAGUNILLAS,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
LLALLAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
PORONGO,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,12,12
PORTACHUELO,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,2,2
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,3,3
PUERTO VILLARROEL,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
