municipality,group,variable,month,N° de TBP BAAR (+) nuevos,TOTAL
TARATA,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,2,2
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,9,9
TEOPONTE,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
TIPUANI,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,2,2
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
TORO TORO,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
TOTORA(CBBA),tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,9,9
TUPIZA,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
UNCIA,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
UYUNI,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
VALLEGRANDE,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
VIACHA,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,2,2
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,2,2
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,8,8
VINTO,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,2,2
WARNES,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,4,4
YANACACHI,tuberculosis,n de tbp baar (+) nuevos,2008-01-01,1,1
ACHACACHI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,4,4
AIQUILE,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
ANZALDO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
APOLO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
AYATA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
CAMARGO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
CAPINOTA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
CARACOLLO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,9,9
CARAPARI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
CHALLAPATA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
CHAQUI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
CHAYANTA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
CHIMORE,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,4,4
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,14,14
COLCAPIRHUA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
COLQUECHACA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
CORIPATA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
COROICO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,4,4
COTOCA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,6,6
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,30,30
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,6,6
GUANAY,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
GUAYARAMERIN,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
INCAHUASI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,4,4
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,33,33
LAGUNILLAS,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
LLALLAGUA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
MACHARETI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
MAGDALENA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
MALLA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
MAPIRI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
MIZQUE,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
MONTEAGUDO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
OCURI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
OMEREQUE,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
ORURO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,5,5
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
PATACAMAYA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
POCOATA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
POJO (CBBA),tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
PUERTO CARABUCO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,4,4
QUILLACOLLO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,8,8
RIBERALTA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,5,5
RURRENABAQUE,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
SACABA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
SACACA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
SAN LORENZO(TJA),tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
SAN LUCAS,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,19,19
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
SANTIAGO DE HUARI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
SIPE SIPE,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
SOPACHUY,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
SORATA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,4,4
SUCRE,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,12,12
TACACOMA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
TARABUCO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
TARATA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,7,7
TIPUANI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,4,4
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
TOMINA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,11,11
TUPIZA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,2,2
VALLEGRANDE,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
VILLA SERRANO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
VINTO,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
WARNES,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,3,3
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,11,11
YANACACHI,tuberculosis,n de tbp baar (+) nuevos,2008-02-01,1,1
ACHOCALLA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
ANCORAIMES,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
ANZALDO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
ARBIETO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,3,3
BETANZOS,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
CAMARGO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
CAPINOTA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,5,5
CARACOLLO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,10,10
CARAPARI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
CHAQUI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
CLIZA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,3,3
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,24,24
COLCAPIRHUA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
COLPA BELGICA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
COLQUECHACA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
COLQUIRI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
CORIPATA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
COROICO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
COTOCA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,4,4
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,36,36
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,6,6
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
GUANAY,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
GUAYARAMERIN,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,3,3
HUANUNI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
INCAHUASI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,4,4
IXIAMAS,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,7,7
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,4,4
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,30,30
LAJA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
LLALLAGUA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
LURIBAY,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
MACHARETI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
MAGDALENA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
MAPIRI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
MECAPACA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
MOCOMOCO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
MONTEAGUDO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
ORURO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,11,11
PADCAYA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
PALCA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,4,4
PATACAMAYA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
POJO (CBBA),tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
POROMA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
PORONGO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
PORVENIR,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,4,4
PUERTO CARABUCO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
PUERTO RICO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,6,6
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
QUILLACOLLO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
QUIME,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,7,7
RURRENABAQUE,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
SACABA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,6,6
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
SAN LORENZO(PND),tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
SAN LUCAS,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
SAN MIGUEL DE VELASCO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,50,50
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
SANTIAGO DE CALLAPA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
SAPAHAQUI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
SIPE SIPE,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
SORATA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,3,3
SUCRE,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,13,13
TACACOMA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
TARABUCO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
TARIJA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,5,5
TEOPONTE,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
TIPUANI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,3,3
TIQUIPAYA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
TIRAQUE (CBBA),tuberculosis,n de tbp baar (+) nuevos,2008-03-01,9,9
TOLATA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
TORO TORO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,7,7
TUPIZA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
UMALA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
UYUNI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
VIACHA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
VILLA MONTES,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,3,3
VILLA TUNARI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
VILLAZON,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
VINTO,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,4,4
YACUIBA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,15,15
YAPACANI,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
YOCALLA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,2,2
YUNCHARA,tuberculosis,n de tbp baar (+) nuevos,2008-03-01,1,1
ACHACACHI,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
ANDAMARCA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
ARBIETO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de tbp baar (+) nuevos,2008-04-01,3,3
AZURDUY,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,2,2
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,3,3
BOYUIBE,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
CAIROMA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
CAPINOTA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,4,4
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,11,11
CHARAGUA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,2,2
CHAYANTA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
CHIMORE,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,3,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (+) nuevos,2008-04-01,4,4
CHUMA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,4,4
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,21,21
COLCAPIRHUA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,2,2
COLPA BELGICA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,2,2
COLQUECHACA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
COLQUIRI,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
COMARAPA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
COMBAYA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,2,2
CORIPATA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,4,4
COROICO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,3,3
COTAGAITA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
CULPINA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,4,4
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,24,24
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,8,8
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,3,3
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,6,6
FERNANDEZ ALONSO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
GUAYARAMERIN,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,2,2
ICLA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
INCAHUASI,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
INQUISIVI,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,5,5
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,4,4
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,43,43
LLALLAGUA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,5,5
MACHARETI,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
MAIRANA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
MAPIRI,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
MIZQUE,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
MONTEAGUDO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,3,3
MONTERO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
OKINAWA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
OMEREQUE,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
ORURO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,7,7
PADILLA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,6,6
PAMPA GRANDE,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
PATACAMAYA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
POJO (CBBA),tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
POROMA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
PORONGO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
PORTACHUELO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,7,7
PRESTO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,3,3
PUERTO ACOSTA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,2,2
PUERTO CARABUCO,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
PUERTO PEREZ,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,3,3
PUNA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2008-04-01,1,1
